"Table 1. Life table for the total population: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
0–1,0.005776968318969011,100000,577.6968383789063,99493.359375,7860752,78.6075210571289
1–2,0.0003818386176135391,99422.3046875,37.96327590942383,99403.328125,7761258.5,78.06355285644531
2–3,0.000248394557274878,99384.34375,24.6865291595459,99372,7661855,77.09317779541016
3–4,0.0001928160636452958,99359.65625,19.158138275146484,99350.078125,7562483,76.11221313476563
4–5,0.00014872249448671937,99340.5,14.77416706085205,99333.109375,7463133,75.12679290771484
5–6,0.0001408825773978606,99325.7265625,13.993264198303223,99318.734375,7363800,74.13789367675781
6–7,0.0001259810960618779,99311.734375,12.511401176452637,99305.484375,7264481,73.14826202392578
7–8,0.00011421359522501007,99299.2265625,11.34132194519043,99293.5546875,7165175.5,72.15741729736328
8–9,0.00010369524534326047,99287.8828125,10.29568099975586,99282.734375,7065882,71.16560363769531
9–10,9.535192657494918E-05,99277.5859375,9.466309547424316,99272.8515625,6966599.5,70.17293548583984
10–11,9.301797399530187E-05,99268.1171875,9.233718872070313,99263.5,6867326.5,69.17958068847656
11–12,0.00010298151755705476,99258.8828125,10.221830368041992,99253.7734375,6768063,68.18596649169922
12–13,0.00013252763892523944,99248.6640625,13.153191566467285,99242.0859375,6668809,67.19293212890625
13–14,0.0001858931063907221,99235.5078125,18.44719696044922,99226.28125,6569567,66.20177459716797
14–15,0.0002583088935352862,99217.0625,25.62864875793457,99204.25,6470341,65.21399688720703
15–16,0.00033830752363428473,99191.4375,33.55720901489258,99174.65625,6371136.5,64.230712890625
16–17,0.0004207263409625739,99157.8828125,41.71833419799805,99137.0234375,6271962,63.25227737426758
17–18,0.0005096942186355591,99116.1640625,50.51893615722656,99090.90625,6172825,62.278690338134766
18–19,0.0006031306111253798,99065.6484375,59.74952697753906,99035.7734375,6073734,61.3101921081543
19–20,0.0006978617748245597,99005.8984375,69.0924301147461,98971.3515625,5974698.5,60.346893310546875
20–21,0.0007951713050715625,98936.8046875,78.67170715332031,98897.46875,5875727,59.38868713378906
21–22,0.000889373361133039,98858.1328125,87.92179107666016,98814.171875,5776829.5,58.435550689697266
22–23,0.0009702147799544036,98770.2109375,95.82831573486328,98722.296875,5678015.5,57.487125396728516
23–24,0.001032469910569489,98674.3828125,101.87833404541016,98623.4453125,5579293,56.54246520996094
24–25,0.0010802376782521605,98572.5078125,106.48173522949219,98519.265625,5480669.5,55.60038757324219
25–26,0.001122550922445953,98466.0234375,110.53312683105469,98410.7578125,5382150.5,54.659976959228516
26–27,0.0011651417007669806,98355.4921875,114.59808349609375,98298.1875,5283739.5,53.7208366394043
27–28,0.0012071458622813225,98240.890625,118.5910873413086,98181.59375,5185441.5,52.78292465209961
28–29,0.0012518096482381225,98122.296875,122.83043670654297,98060.8828125,5087259.5,51.84611129760742
29–30,0.0012999660102650523,97999.46875,127.39598083496094,97935.765625,4989199,50.91046905517578
30–31,0.0013505816459655762,97872.0703125,132.18421936035156,97805.9765625,4891263,49.9760856628418
31–32,0.0014020204544067383,97739.8828125,137.03330993652344,97671.3671875,4793457,49.042999267578125
32–33,0.0014542329590767622,97602.8515625,141.93728637695313,97531.8828125,4695785.5,48.111148834228516
33–34,0.0015055579133331776,97460.9140625,146.73304748535156,97387.546875,4598254,47.18049240112305
34–35,0.0015564917121082544,97314.1796875,151.46871948242188,97238.4453125,4500866.5,46.25088119506836
35–36,0.0016147659625858068,97162.7109375,156.89503479003906,97084.265625,4403628,45.322200775146484
36–37,0.0016787280328571796,97005.8125,162.84637451171875,96924.390625,4306543.5,44.39469528198242
37–38,0.0017399053322151303,96842.96875,168.4976043701172,96758.71875,4209619,43.468505859375
38–39,0.0017976908711716533,96674.46875,173.7908172607422,96587.578125,4112860.5,42.543399810791016
39–40,0.001859532785601914,96500.6796875,179.44618225097656,96410.953125,4016273,41.619117736816406
40–41,0.001936057349666953,96321.234375,186.48342895507813,96227.9921875,3919862,40.69572067260742
41–42,0.00203607021830976,96134.75,195.7371063232422,96036.8828125,3823634,39.7736930847168
42–43,0.0021597782615572214,95939.015625,207.20700073242188,95835.4140625,3727597,38.853816986083984
43–44,0.0023056466598063707,95731.8125,220.72373962402344,95621.453125,3631761.75,37.936832427978516
44–45,0.0024699631612747908,95511.0859375,235.9088592529297,95393.1328125,3536140.25,37.02334976196289
45–46,0.0026473840698599815,95275.1796875,252.22999572753906,95149.0625,3440747,36.1137809753418
46–47,0.002845828188583255,95022.953125,270.41900634765625,94887.7421875,3345598,35.20831298828125
47–48,0.0030785934068262577,94752.53125,291.70452880859375,94606.6796875,3250710.25,34.307369232177734
