"Table 2. Life table for males: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
0–1,0.00630234694108367,100000,630.2346801757813,99448.546875,7610075,76.10075378417969
1–2,0.00042268639663234353,99369.765625,42.00224685668945,99348.765625,7510626.5,75.58261108398438
2–3,0.0002874353376682848,99327.765625,28.550310134887695,99313.4921875,7411277.5,74.6143569946289
3–4,0.00022494496079161763,99299.21875,22.33685874938965,99288.046875,7311964,73.63566589355469
4–5,0.0001581647666171193,99276.8828125,15.702104568481445,99269.03125,7212676,72.6521224975586
5–6,0.00015554059064015746,99261.1796875,15.439142227172852,99253.4609375,7113407,71.66353607177734
6–7,0.000138456147396937,99245.7421875,13.741183280944824,99238.875,7014153.5,70.67460632324219
7–8,0.00012436427641659975,99232,12.34091567993164,99225.828125,6914914.5,69.68431854248047
8–9,0.00011041062680305913,99219.65625,10.954904556274414,99214.1796875,6815689,68.69293212890625
9–10,9.820367267820984E-05,99208.703125,9.742658615112305,99203.828125,6716474.5,67.70045471191406
10–11,9.397680696565658E-05,99198.9609375,9.322402000427246,99194.296875,6617271,66.70706176757813
11–12,0.00010786124767037109,99189.640625,10.698718070983887,99184.296875,6518076.5,65.7132797241211
12–13,0.00015155704750213772,99178.9453125,15.031268119812012,99171.4296875,6418892.5,64.7203140258789
13–14,0.00023189505736809224,99163.9140625,22.995620727539063,99152.421875,6319721,63.73004913330078
14–15,0.0003413899685256183,99140.921875,33.8457145690918,99124,6220568.5,62.744712829589844
15–16,0.000461328134406358,99107.078125,45.720882415771484,99084.21875,6121444.5,61.765968322753906
16–17,0.0005841611418873072,99061.359375,57.8677978515625,99032.421875,6022360,60.79423904418945
17–18,0.0007175786886364222,99003.4921875,71.04279327392578,98967.96875,5923328,59.82948684692383
18–19,0.0008585978648625314,98932.453125,84.94319152832031,98889.984375,5824360,58.87208557128906
19–20,0.001001486787572503,98847.5078125,98.99447631835938,98798.015625,5725470,57.92224884033203
20–21,0.0011470711324363947,98748.515625,113.27156829833984,98691.875,5626672,56.97981262207031
21–22,0.001285942387767136,98635.2421875,126.83924102783203,98571.828125,5527980,56.044673919677734
22–23,0.0014028329169377685,98508.40625,138.1908416748047,98439.3125,5429408,55.116188049316406
23–24,0.0014899933012202382,98370.21875,146.5709686279297,98296.9375,5330969,54.19291687011719
24–25,0.0015538185834884644,98223.6484375,152.62173461914063,98147.3359375,5232672,53.27303695678711
25–26,0.001609192113392055,98071.0234375,157.81512451171875,97992.1171875,5134524.5,52.35516357421875
26–27,0.0016636601649224758,97913.2109375,162.89430236816406,97831.765625,5036532.5,51.438743591308594
27–28,0.00171330024022609,97750.3203125,167.47564697265625,97666.578125,4938700.5,50.523624420166016
28–29,0.0017615470569580793,97582.84375,171.8967742919922,97496.890625,4841034,49.60947799682617
29–30,0.00181030691601336,97410.9453125,176.3437042236328,97322.7734375,4743537,48.69614028930664
30–31,0.0018587581580504775,97234.6015625,180.73561096191406,97144.234375,4646214.5,47.78355026245117
31–32,0.0019074579467996955,97053.8671875,185.1261749267578,96961.3046875,4549070,46.87160110473633
32–33,0.0019591974560171366,96868.7421875,189.7849884033203,96773.8515625,4452109,45.96022415161133
33–34,0.002014129189774394,96678.9609375,194.7239227294922,96581.59375,4355335,45.049461364746094
34–35,0.002071626950055361,96484.234375,199.87933349609375,96384.296875,4258753.5,44.13936996459961
35–36,0.0021390151232481003,96284.3515625,205.9536895751953,96181.375,4162369.25,43.22996520996094
36–37,0.0022113339509814978,96078.3984375,212.46142578125,95972.171875,4066187.75,42.32155990600586
37–38,0.0022768150083720684,95865.9375,218.26901245117188,95756.8046875,3970215.5,41.41424560546875
38–39,0.0023329313844442368,95647.671875,223.1394500732422,95536.1015625,3874458.75,40.50761032104492
39–40,0.002389836125075817,95424.53125,228.0489959716797,95310.5078125,3778922.75,39.601165771484375
40–41,0.0024626462254673243,95196.484375,234.4352569580078,95079.265625,3683612.25,38.6948356628418
41–42,0.002565524075180292,94962.046875,243.62741088867188,94840.234375,3588533,37.789127349853516
42–43,0.0027009788900613785,94718.421875,255.83245849609375,94590.5,3493692.75,36.885040283203125
43–44,0.0028696933295577765,94462.5859375,271.0786437988281,94327.046875,3399102.25,35.98358154296875
44–45,0.003066050121560693,94191.5078125,288.7958984375,94047.109375,3304775.25,35.08570098876953
45–46,0.0032801120541989803,93902.7109375,308.01141357421875,93748.703125,3210728,34.19207000732422
46–47,0.003520103171467781,93594.703125,329.4630126953125,93429.96875,3116979.25,33.30294418334961
47–48,0.003803920466452837,93265.2421875,354.7735595703125,93087.859375,3023549.25,32.4188232421875
48–49,0.004145975690335035,92910.46875,385.2045593261719,92717.8671875,2930461.5,31.54070281982422
49–50,0.004546886309981346,92525.265625,420.7018737792969,92314.9140625,2837743.75,30.669933319091797
50–51,0.004978296346962452,92104.5625,458.5238037109375,91875.296875,2745428.75,29.8077392578125
