"Table 3. Life table for females: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
0–1,0.005226429086178541,100000,522.6428833007813,99540.6015625,8110474.5,81.10474395751953
1–2,0.00033906285534612834,99477.359375,33.72907638549805,99460.5,8010934,80.53022003173828
2–3,0.00020753819262608886,99443.6328125,20.638351440429688,99433.3125,7911473.5,79.55736541748047
3–4,0.0001592152111697942,99422.9921875,15.829652786254883,99415.078125,7812040,78.57377624511719
4–5,0.00013885405496694148,99407.1640625,13.803088188171387,99400.265625,7712625,77.58621215820313
5–6,0.00012557220179587603,99393.359375,12.481042861938477,99387.1171875,7613225,76.59691619873047
6–7,0.00011295814329059795,99380.875,11.225878715515137,99375.265625,7513837.5,75.60647583007813
7–8,0.00010362247849116102,99369.6484375,10.296929359436035,99364.5,7414462.5,74.61495971679688
8–9,9.669153223512694E-05,99359.3515625,9.607208251953125,99354.546875,7315098,73.62264251708984
9–10,9.237877384293824E-05,99349.7421875,9.177807807922363,99345.15625,7215743.5,72.62971496582031
10–11,9.201855573337525E-05,99340.5625,9.141175270080566,99335.9921875,7116398,71.6363754272461
11–12,9.789587784325704E-05,99331.421875,9.724136352539063,99326.5625,7017062,70.6429214477539
12–13,0.00011269428068771958,99321.6953125,11.192987442016602,99316.09375,6917735.5,69.64979553222656
13–14,0.0001379369496135041,99310.5,13.698587417602539,99303.65625,6818419.5,68.6575927734375
14–15,0.00017166299221571535,99296.8046875,17.04558753967285,99288.28125,6719116,67.6669921875
15–16,0.00020998850231990218,99279.7578125,20.84760856628418,99269.3359375,6619827.5,66.67852020263672
16–17,0.0002502097049728036,99258.9140625,24.835542678833008,99246.5,6520558.5,65.69242095947266
17–18,0.000292550161248073,99234.078125,29.03094482421875,99219.5625,6421312,64.708740234375
18–19,0.00033566230558790267,99205.046875,33.29939651489258,99188.3984375,6322092,63.72752380371094
19–20,0.0003790347254835069,99171.75,37.58953857421875,99152.953125,6222904,62.748756408691406
20–21,0.0004244505544193089,99134.1640625,42.077552795410156,99113.125,6123751,61.77235794067383
21–22,0.0004705753526650369,99092.0859375,46.63029479980469,99068.765625,6024637.5,60.798370361328125
22–23,0.0005130990175530314,99045.453125,50.820125579833984,99020.046875,5925569,59.82676315307617
23–24,0.0005499850958585739,98994.6328125,54.44557189941406,98967.40625,5826549,58.85721969604492
