"Table 4. Life table for the white population: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
0–1,0.004835349507629871,100000,483.5349426269531,99573.5234375,7879015,78.79015350341797
1–2,0.0003432005178183317,99516.46875,34.15410232543945,99499.390625,7779441.5,78.17240142822266
2–3,0.0002276245941175148,99482.3125,22.644620895385742,99470.984375,7679942,77.19906616210938
3–4,0.0001755377888912335,99459.6640625,17.45892906188965,99450.9375,7580471,76.21653747558594
4–5,0.00013156802742742002,99442.203125,13.083414077758789,99435.65625,7481020,75.22982788085938
5–6,0.00012763944687321782,99429.1171875,12.69107723236084,99422.7734375,7381584.5,74.23966979980469
6–7,0.00011408606223994866,99416.4296875,11.342028617858887,99410.7578125,7282161.5,73.24907684326172
7–8,0.00010364018817199394,99405.0859375,10.302361488342285,99399.9375,7182751,72.25737762451172
8–9,9.473346290178597E-05,99394.78125,9.416011810302734,99390.078125,7083351,71.26481628417969
9–10,8.823272219160572E-05,99385.3671875,8.769041061401367,99380.984375,6983961,70.27152252197266
10–11,8.749933476792648E-05,99376.6015625,8.69538688659668,99372.25,6884580,69.27767944335938
11–12,9.797637176234275E-05,99367.90625,9.73570728302002,99363.0390625,6785207.5,68.28369140625
12–13,0.00012594243162311614,99358.171875,12.513409614562988,99351.9140625,6685844.5,67.29033660888672
13–14,0.00017507740994915366,99345.65625,17.39318084716797,99336.9609375,6586492.5,66.29874420166016
14–15,0.0002413673500996083,99328.265625,23.974599838256836,99316.28125,6487156,65.31027221679688
15–16,0.0003146319941151887,99304.2890625,31.244306564331055,99288.671875,6387839.5,64.32592010498047
16–17,0.00039081659633666277,99273.046875,38.79755401611328,99253.6484375,6288551,63.346004486083984
17–18,0.0004744319594465196,99234.25,47.079898834228516,99210.7109375,6189297,62.37057113647461
18–19,0.0005641941679641604,99187.171875,55.96082305908203,99159.1875,6090086.5,61.399940490722656
19–20,0.0006570361438207328,99131.2109375,65.1327896118164,99098.640625,5990927.5,60.434322357177734
20–21,0.0007533151074312627,99066.078125,74.62797546386719,99028.765625,5891828.5,59.473724365234375
21–22,0.0008473602356389165,98991.453125,83.88142395019531,98949.515625,5792800,58.518184661865234
22–23,0.0009300661040470004,98907.5703125,91.9905776977539,98861.578125,5693850.5,57.567386627197266
23–24,0.0009963733609765768,98815.578125,98.45720672607422,98766.34375,5594989,56.620513916015625
24–25,0.001049725920893252,98717.1171875,103.62591552734375,98665.3046875,5496222.5,55.676490783691406
