"Table 5. Life table for white males: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
0–1,0.005273349583148956,100000,527.3349609375,99535.9453125,7637059,76.37059020996094
1–2,0.00038861535722389817,99472.6640625,38.6566047668457,99453.3359375,7537523,75.77481842041016
2–3,0.000272595789283514,99434.0078125,27.10529136657715,99420.453125,7438070,74.80408477783203
3–4,0.00019900556071661413,99406.90625,19.782527923583984,99397.015625,7338649.5,73.8243408203125
4–5,0.00014685964561067522,99387.125,14.59595775604248,99379.828125,7239252.5,72.83893585205078
5–6,0.00014263430784922093,99372.53125,14.173932075500488,99365.4453125,7139872.5,71.84955596923828
6–7,0.00012552397674880922,99358.359375,12.471856117248535,99352.125,7040507,70.85973358154297
7–8,0.00011200985318282619,99345.890625,11.127718925476074,99340.328125,6941155,69.86856842041016
8–9,0.00010010765254264697,99334.765625,9.944169998168945,99329.796875,6841814.5,68.87633514404297
9–10,9.124541247729212E-05,99324.8203125,9.062933921813965,99320.2890625,6742485,67.88318634033203
10–11,9.034339018398896E-05,99315.7578125,8.972522735595703,99311.2734375,6643164.5,66.88932800292969
11–12,0.0001052291045198217,99306.7890625,10.44996452331543,99301.5625,6543853,65.89532470703125
12–13,0.00014488933084066957,99296.3359375,14.386980056762695,99289.140625,6444551.5,64.90220642089844
13–14,0.00021466428006533533,99281.9453125,21.312286376953125,99271.2890625,6345262.5,63.91154479980469
14–15,0.0003091071848757565,99260.6328125,30.682174682617188,99245.296875,6245991,62.9251594543457
15–16,0.00041235960088670254,99229.953125,40.91842269897461,99209.4921875,6146746,61.944461822509766
16–17,0.0005202929605729878,99189.03125,51.60735321044922,99163.2265625,6047536.5,60.969810485839844
17–18,0.0006424598395824432,99137.421875,63.691810607910156,99105.578125,5948373,60.00128936767578
18–19,0.0007780393934808671,99073.7265625,77.08325958251953,99035.1875,5849267.5,59.03954315185547
19–20,0.0009205628302879632,98996.640625,91.13262939453125,98951.078125,5750232.5,58.08512878417969
20–21,0.0010677417740225792,98905.5078125,105.60554504394531,98852.703125,5651281.5,57.138187408447266
21–22,0.0012089001247659326,98799.8984375,119.439208984375,98740.1796875,5552428.5,56.198726654052734
22–23,0.0013304941821843386,98680.4609375,131.2937774658203,98614.8125,5453688.5,55.266143798828125
23–24,0.001424485119059682,98549.1640625,140.38182067871094,98478.96875,5355073.5,54.339107513427734
24–25,0.0014965098816901445,98408.78125,147.26971435546875,98335.140625,5256594.5,53.41590881347656
25–26,0.0015606636879965663,98261.5078125,153.35316467285156,98184.828125,5158259.5,52.49522018432617
26–27,0.0016239164397120476,98108.15625,159.31944274902344,98028.5,5060074.5,51.57649230957031
27–28,0.0016818991862237453,97948.8359375,164.7400665283203,97866.46875,4962046,50.65957260131836
28–29,0.0017374882008880377,97784.09375,169.89871215820313,97699.140625,4864180,49.744083404541016
29–30,0.0017922495026141405,97614.1953125,174.94898986816406,97526.71875,4766480.5,48.82978820800781
30–31,0.001846571103669703,97439.25,179.92849731445313,97349.28125,4668954,47.91656494140625
31–32,0.0018999165622517467,97259.3203125,184.7845916748047,97166.9296875,4571604.5,47.00428009033203
32–33,0.0019522698130458593,97074.5390625,189.51568603515625,96979.78125,4474437.5,46.09280014038086
33–34,0.002002861350774765,96885.0234375,194.04727172851563,96788,4377458,45.18198776245117
34–35,0.0020526456646621227,96690.9765625,198.47232055664063,96591.7421875,4280670,44.27165985107422
35–36,0.002110761124640703,96492.5078125,203.67263793945313,96390.671875,4184078.25,43.361690521240234
36–37,0.0021743716206401587,96288.8359375,209.36770629882813,96184.15625,4087687.5,42.45235061645508
37–38,0.0022329255007207394,96079.46875,214.53829956054688,95972.203125,3991503.25,41.54376983642578
38–39,0.002285057445988059,95864.9296875,219.05686950683594,95755.40625,3895531.25,40.635623931884766
39–40,0.0023402816150337458,95645.875,223.83828735351563,95533.953125,3799775.75,39.727542877197266
40–41,0.0024129878729581833,95422.0390625,230.25222778320313,95306.9140625,3704241.75,38.81956100463867
41–42,0.0025155129842460155,95191.7890625,239.4561767578125,95072.0625,3608934.75,37.91224670410156
42–43,0.0026487030554562807,94952.3359375,251.50054931640625,94826.5859375,3513862.75,37.006595611572266
43–44,0.0028114663437008858,94700.8359375,266.2481994628906,94567.7109375,3419036.25,36.10354995727539
44–45,0.0029989713802933693,94434.5859375,283.2066345214844,94292.984375,3324468.5,35.20392990112305
45–46,0.003202536841854453,94151.3828125,301.5232849121094,94000.625,3230175.5,34.30831527709961
46–47,0.0034329204354435205,93849.859375,322.1791076660156,93688.765625,3136175,33.41693878173828
47–48,0.003709283424541354,93527.6796875,346.9206848144531,93354.21875,3042486.25,32.530330657958984
48–49,0.004047031980007887,93180.7578125,377.1054992675781,92992.203125,2949132,31.649581909179688
49–50,0.0044453502632677555,92803.6484375,412.5447082519531,92597.375,2856139.75,30.77615737915039
50–51,0.004874178674072027,92391.1015625,450.33074951171875,92165.9375,2763542.25,29.911346435546875
51–52,0.005331255029886961,91940.7734375,490.1596984863281,91695.6953125,2671376.5,29.05540657043457
52–53,0.005844325292855501,91450.6171875,534.4671630859375,91183.3828125,2579680.75,28.20845603942871
53–54,0.006408488377928734,90916.1484375,582.6350708007813,90624.828125,2488497.25,27.37134552001953
