"Table 6. Life table for white females: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
0–1,0.00437580794095993,100000,437.5807800292969,99612.7421875,8123535.5,81.2353515625
1–2,0.0002955567615572363,99562.421875,29.426347732543945,99547.703125,8023922.5,80.59188079833984
2–3,0.00018046630430035293,99532.9921875,17.962350845336914,99524.015625,7924375,79.61556243896484
3–4,0.00015094169066287577,99515.03125,15.020967483520508,99507.515625,7824851,78.62983703613281
4–5,0.00011554977390915155,99500.0078125,11.497203826904297,99494.2578125,7725343.5,77.64163970947266
5–6,0.00011193971295142546,99488.5078125,11.136714935302734,99482.9375,7625849,76.65055084228516
6–7,0.00010211520566372201,99477.375,10.15815258026123,99472.296875,7526366,75.65907287597656
7–8,9.488269279245287E-05,99467.21875,9.43771743774414,99462.5,7426894,74.666748046875
8–9,8.911058830562979E-05,99457.78125,8.862741470336914,99453.3515625,7327431.5,73.67378997802734
9–10,8.508020982844755E-05,99448.921875,8.461134910583496,99444.6875,7227978,72.68030548095703
10–11,8.452247129753232E-05,99440.4609375,8.404953956604004,99436.2578125,7128533.5,71.68644714355469
11–12,9.038225834956393E-05,99432.0546875,8.986893653869629,99427.5625,7029097,70.69246673583984
12–13,0.00010609657329041511,99423.0703125,10.548446655273438,99417.796875,6929669.5,69.69880676269531
13–14,0.00013359908189158887,99412.5234375,13.281421661376953,99405.8828125,6830251.5,68.70614624023438
14–15,0.00017036573262885213,99399.2421875,16.93422508239746,99390.7734375,6730846,67.71526336669922
15–16,0.00021218393521849066,99382.3046875,21.08732795715332,99371.765625,6631455,66.72671508789063
16–17,0.0002550429489929229,99361.21875,25.341379165649414,99348.546875,6532083.5,65.74077606201172
17–18,0.0002980247954837978,99335.875,29.60455322265625,99321.078125,6432735,64.7574234008789
18–19,0.0003391705104149878,99306.2734375,33.681758880615234,99289.4375,6333413.5,63.77656936645508
19–20,0.0003789176407735795,99272.59375,37.61613845825195,99253.78125,6234124,62.798038482666016
20–21,0.0004204030556138605,99234.9765625,41.71868896484375,99214.1171875,6134870.5,61.8216552734375
21–22,0.00046355868107639253,99193.2578125,45.981895446777344,99170.265625,6035656.5,60.84744644165039
22–23,0.0005044636782258749,99147.2734375,50.016197204589844,99122.265625,5936486,59.87543487548828
23–24,0.0005416603526100516,99097.2578125,53.67705535888672,99070.421875,5837364,58.90540313720703
24–25,0.0005761573556810617,99043.578125,57.0646858215332,99015.046875,5738293.5,57.93705749511719
25–26,0.0006088579539209604,98986.515625,60.26872634887695,98956.3828125,5639278.5,56.97016906738281
26–27,0.0006429449422284961,98926.25,63.60413360595703,98894.453125,5540322,56.00457000732422
27–28,0.0006816863897256553,98862.6484375,67.39331817626953,98828.953125,5441427.5,55.04027557373047
28–29,0.0007279147394001484,98795.2578125,71.9145278930664,98759.296875,5342598.5,54.07748031616211
29–30,0.0007807603687979281,98723.34375,77.07927703857422,98684.8046875,5243839.5,53.11650848388672
30–31,0.0008389208815060556,98646.265625,82.75640869140625,98604.890625,5145154.5,52.15761947631836
31–32,0.0008975969976745546,98563.5078125,88.47030639648438,98519.2734375,5046549.5,51.200992584228516
32–33,0.0009526248904876411,98475.0390625,93.80977630615234,98428.1328125,4948030.5,50.246543884277344
33–34,0.0010001430055126548,98381.2265625,98.39529418945313,98332.03125,4849602,49.29397964477539
34–35,0.0010425504297018051,98282.828125,102.46480560302734,98231.59375,4751270,48.342830657958984
35–36,0.0010894938604906201,98180.3671875,106.96690368652344,98126.8828125,4653038.5,47.392757415771484
36–37,0.0011428887955844402,98073.3984375,112.08699035644531,98017.359375,4554911.5,46.443904876708984
