"Table 7. Life table for the black population: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
0–1,0.010796412825584412,100000,1079.6412353515625,99063.953125,7530675,75.30674743652344
1–2,0.0006050770753063262,98920.359375,59.85444259643555,98890.4375,7431611.5,75.1272201538086
2–3,0.0003807078755926341,98860.5078125,37.6369743347168,98841.6875,7332721,74.17240142822266
3–4,0.0002812627935782075,98822.8671875,27.795196533203125,98808.96875,7233879,73.20045471191406
4–5,0.0002395529591012746,98795.0703125,23.666650772094727,98783.234375,7135070,72.22090911865234
5–6,0.00021402268612291664,98771.40625,21.13932228088379,98760.8359375,7036287,71.23809814453125
6–7,0.0001910979626700282,98750.265625,18.870975494384766,98740.828125,6937526,70.25324249267578
7–8,0.00017223205941263586,98731.3984375,17.004711151123047,98722.890625,6838785.5,69.26657104492188
8–9,0.0001539645454613492,98714.390625,15.198515892028809,98706.796875,6740062.5,68.2784194946289
9–10,0.00013751816004514694,98699.1953125,13.572931289672852,98692.40625,6641355.5,67.28884887695313
10–11,0.0001292268862016499,98685.625,12.752836227416992,98679.25,6542663,66.29803466796875
11–12,0.00014003431715536863,98672.875,13.817588806152344,98665.96875,6443984,65.3065414428711
12–13,0.0001828437380027026,98659.0546875,18.0391902923584,98650.03125,6345318,64.31562042236328
13–14,0.0002647356013767421,98641.015625,26.113788604736328,98627.953125,6246668,63.32728958129883
14–15,0.0003763785061892122,98614.8984375,37.11652755737305,98596.34375,6148040,62.34392547607422
15–16,0.0004985080449841917,98577.78125,49.141815185546875,98553.2109375,6049443.5,61.367210388183594
16–17,0.0006214946624822915,98528.640625,61.235023498535156,98498.0234375,5950890.5,60.3975715637207
17–18,0.0007498629856854677,98467.40625,73.83706665039063,98430.484375,5852392.5,59.434818267822266
18–19,0.0008794581517577171,98393.5703125,86.53302764892578,98350.3046875,5753962,58.47904586791992
19–20,0.0010065074311569333,98307.0390625,98.94676208496094,98257.5625,5655611.5,57.53007507324219
