"Table 9. Life table for black females: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
0–1,0.009674320928752422,100000,967.4320678710938,99157.3671875,7845941,78.45941162109375
1–2,0.0005877604708075523,99032.5703125,58.20743179321289,99003.46875,7746783.5,78.22460174560547
2–3,0.00035472511081025004,98974.359375,35.10869216918945,98956.8046875,7647780,77.27031707763672
3–4,0.00021352112526074052,98939.25,21.125619888305664,98928.6875,7548823.5,76.29756164550781
4–5,0.0002480848634149879,98918.125,24.540088653564453,98905.859375,7449894.5,75.3137435913086
5–6,0.0001969258300960064,98893.5859375,19.474700927734375,98883.84375,7350989,74.33231353759766
6–7,0.00017080055840779096,98874.109375,16.887752532958984,98865.6640625,7252105,73.34685516357422
7–8,0.00015138812887016684,98857.21875,14.96580982208252,98849.734375,7153239,72.35929870605469
8–9,0.00013863868662156165,98842.25,13.703359603881836,98835.3984375,7054389.5,71.37018585205078
9–10,0.00013253497309051454,98828.546875,13.098238945007324,98822,6955554,70.38001251220703
10–11,0.0001330905652139336,98815.4453125,13.151403427124023,98808.875,6856732,69.38927459716797
11–12,0.00014031180762685835,98802.296875,13.863128662109375,98795.3671875,6757923,68.3984375
12–13,0.0001541369711048901,98788.4375,15.226950645446777,98780.828125,6659128,67.40796661376953
13–14,0.0001744209002936259,98773.2109375,17.228113174438477,98764.59375,6560347,66.41828155517578
14–15,0.00020106024749111384,98755.984375,19.85590171813965,98746.0546875,6461582.5,65.42977905273438
15–16,0.0002311675198143348,98736.125,22.8245849609375,98724.7109375,6362836.5,64.44284057617188
16–17,0.0002670298854354769,98713.296875,26.359399795532227,98700.1171875,6264111.5,63.45762634277344
17–18,0.0003134820144623518,98686.9375,30.936580657958984,98671.46875,6165411.5,62.47444534301758
18–19,0.0003717952349688858,98656,36.679832458496094,98637.65625,6066740,61.49387741088867
19–20,0.00043793825898319483,98619.3203125,43.18917465209961,98597.7265625,5968102.5,60.516563415527344
20–21,0.0005079636466689408,98576.1328125,50.07309341430664,98551.09375,5869504.5,59.54285430908203
21–22,0.0005760794738307595,98526.0625,56.75884246826172,98497.6875,5770953.5,58.57286071777344
22–23,0.0006374993827193975,98469.3046875,62.77412033081055,98437.921875,5672456,57.60633850097656
23–24,0.0006881746230646968,98406.53125,67.72087860107422,98372.671875,5574018,56.642765045166016
24–25,0.000730597588699311,98338.8125,71.84609985351563,98302.890625,5475645.5,55.681427001953125
25–26,0.0007716248510405421,98266.96875,75.82523345947266,98229.0546875,5377342.5,54.721771240234375
26–27,0.000814638624433428,98191.140625,79.99029541015625,98151.140625,5279113.5,53.76364517211914
27–28,0.0008587921038269997,98111.1484375,84.257080078125,98069.015625,5180962.5,52.807071685791016
28–29,0.0009078362490981817,98026.890625,88.99236297607422,97982.390625,5082893,51.852027893066406
29–30,0.0009647244587540627,97937.8984375,94.48308563232422,97890.65625,4984911,50.8986930847168
30–31,0.0010304402094334364,97843.4140625,100.82178497314453,97793,4887020,49.947357177734375
31–32,0.0011045021237805486,97742.59375,107.95690155029297,97688.6171875,4789227,48.99836349487305
32–33,0.001185924862511456,97634.640625,115.78734588623047,97576.75,4691538.5,48.05198669433594
33–34,0.0012693774187937379,97518.8515625,123.7882308959961,97456.953125,4593962,47.10845184326172
34–35,0.0013525381218641996,97395.0625,131.73052978515625,97329.1953125,4496505,46.16769027709961
35–36,0.0014402337837964296,97263.328125,140.08192443847656,97193.2890625,4399175.5,45.22953796386719
36–37,0.0015357472002506256,97123.25,149.15675354003906,97048.671875,4301982.5,44.2940559387207
37–38,0.0016374903498217463,96974.09375,158.7941436767578,96894.6953125,4204933.5,43.361412048339844
38–39,0.0017504722345620394,96815.296875,169.4724884033203,96730.5625,4108039,42.43171310424805
39–40,0.00187965901568532,96645.828125,181.6612091064453,96555,4011308.5,41.50524139404297
40–41,0.002033098367974162,96464.1640625,196.1211395263672,96366.1015625,3914753.5,40.58246612548828
41–42,0.002205523429438472,96268.0390625,212.3214111328125,96161.875,3818387.25,39.66412353515625
42–43,0.002383022801950574,96055.71875,228.90296936035156,95941.265625,3722225.5,38.75069046020508
43–44,0.0025532436557114124,95826.8125,244.66920471191406,95704.4765625,3626284.25,37.842063903808594
44–45,0.0027207606472074986,95582.140625,260.0561218261719,95452.109375,3530579.75,36.937652587890625
45–46,0.0028953873552381992,95322.0859375,275.9943542480469,95184.09375,3435127.75,36.03705978393555
46–47,0.0030990950763225555,95046.09375,294.556884765625,94898.8125,3339943.5,35.14025115966797
47–48,0.003347049467265606,94751.5390625,317.1380920410156,94592.96875,3245044.75,34.2479362487793
48–49,0.003654843894764781,94434.3984375,345.1429748535156,94261.828125,3150451.75,33.36127471923828
49–50,0.004018179606646299,94089.2578125,378.0675354003906,93900.21875,3056190,32.481815338134766
50–51,0.004400044213980436,93711.1875,412.3333740234375,93505.015625,2962289.75,31.610843658447266
51–52,0.00480232248082757,93298.8515625,448.0511779785156,93074.828125,2868784.75,30.74833869934082
52–53,0.005265737418085337,92850.796875,488.92791748046875,92606.328125,2775709.75,29.894302368164063
53–54,0.005796635523438454,92361.8671875,535.3880615234375,92094.171875,2683103.5,29.04990577697754
54–55,0.006374540273100138,91826.4765625,585.3515625,91533.796875,2591009.25,28.21636390686035
55–56,0.006974248681217432,91241.125,636.3383178710938,90922.953125,2499475.5,27.394176483154297
56–57,0.007576147094368935,90604.7890625,686.4351806640625,90261.5703125,2408552.5,26.583059310913086
57–58,0.00818396732211113,89918.3515625,735.8888549804688,89550.40625,2318291,25.78217887878418
58–59,0.008802749216556549,89182.4609375,785.0508422851563,88789.9375,2228740.75,24.99079704284668
59–60,0.009446182288229465,88397.40625,835.0180053710938,87979.8984375,2139950.75,24.208297729492188
60–61,0.010126017034053802,87562.390625,886.6582641601563,87119.0625,2051970.75,23.434385299682617
61–62,0.010844712145626545,86675.734375,939.973388671875,86205.75,1964851.75,22.668994903564453
62–63,0.011601898819208145,85735.7578125,994.6975708007813,85238.40625,1878646,21.91204833984375
63–64,0.012396677397191525,84741.0625,1050.507568359375,84215.8125,1793407.625,21.16338348388672
64–65,0.013230935670435429,83690.5546875,1107.3043212890625,83136.90625,1709191.75,20.42275619506836
65–66,0.014149419963359833,82583.25,1168.505126953125,81999,1626054.875,19.68988800048828
66–67,0.015136838890612125,81414.7421875,1232.36181640625,80798.5625,1544055.875,18.96531105041504
67–68,0.016142141073942184,80182.3828125,1294.3153076171875,79535.2265625,1463257.25,18.24911117553711
68–69,0.017121486365795135,78888.0703125,1350.6810302734375,78212.734375,1383722.125,17.540321350097656
69–70,0.018186694011092186,77537.390625,1410.1488037109375,76832.3125,1305509.375,16.837158203125
70–71,0.01926405541598797,76127.2421875,1466.5194091796875,75393.984375,1228677,16.139780044555664
71–72,0.020676514133810997,74660.7265625,1543.7235107421875,73888.859375,1153283,15.446983337402344
72–73,0.022638075053691864,73117,1655.2281494140625,72289.390625,1079394.125,14.76255989074707
73–74,0.024655671790242195,71461.7734375,1761.93798828125,70580.8046875,1007104.8125,14.092916488647461
74–75,0.026984894648194313,69699.8359375,1880.8427734375,68759.4140625,936524,13.436531066894531
75–76,0.029625089839100838,67818.9921875,2009.1436767578125,66814.421875,867764.5625,12.795303344726563
76–77,0.03210126608610153,65809.8515625,2112.57958984375,64753.5625,800950.125,12.170672416687012
77–78,0.035678789019584656,63697.2734375,2272.6416015625,62560.953125,736196.5625,11.557740211486816
78–79,0.03913589194417,61424.6328125,2403.90771484375,60222.6796875,673635.625,10.966864585876465
79–80,0.0424322709441185,59020.7265625,2504.383544921875,57768.53515625,613412.9375,10.39317798614502
80–81,0.04700760170817375,56516.34375,2656.69775390625,55187.9921875,555644.4375,9.831570625305176
81–82,0.05130807310342789,53859.64453125,2763.4345703125,52477.9296875,500456.4375,9.291863441467285
82–83,0.05597151443362236,51096.2109375,2859.932373046875,49666.2421875,447978.5,8.767353057861328
83–84,0.061447158455848694,48236.27734375,2963.982177734375,46754.2890625,398312.25,8.257524490356445
84–85,0.06787452846765518,45272.296875,3072.835693359375,43735.87890625,351557.96875,7.765410423278809
85–86,0.07382481545209885,42199.4609375,3115.367431640625,40641.77734375,307822.09375,7.294455528259277
86–87,0.08177874982357025,39084.09375,3196.248291015625,37485.96875,267180.3125,6.8360371589660645
87–88,0.0905364453792572,35887.84375,3249.15771484375,34263.265625,229694.34375,6.400338172912598
88–89,0.10007154196500778,32638.685546875,3266.20361328125,31005.583984375,195431.078125,5.987712860107422
89–90,0.1104183942079544,29372.482421875,3243.262451171875,27750.8515625,164425.5,5.5979437828063965
90–91,0.12160544842481613,26129.220703125,3177.45556640625,24540.4921875,136674.640625,5.230720043182373
91–92,0.13365358114242554,22951.765625,3067.585693359375,21417.97265625,112134.1484375,4.885643482208252
92–93,0.14657439291477203,19884.1796875,2914.511474609375,18426.923828125,90716.1796875,4.562229156494141
93–94,0.16036848723888397,16969.66796875,2721.39990234375,15608.9677734375,72289.25,4.259909629821777
94–95,0.1750238835811615,14248.267578125,2493.787109375,13001.3740234375,56680.28515625,3.9780476093292236
95–96,0.19051460921764374,11754.48046875,2239.400146484375,10634.7802734375,43678.91015625,3.7159371376037598
96–97,0.2067996859550476,9515.080078125,1967.715576171875,8531.22265625,33044.1328125,3.4728171825408936
97–98,0.2238224297761917,7547.3642578125,1689.2694091796875,6702.7294921875,24512.908203125,3.2478766441345215
98–99,0.2415105104446411,5858.0947265625,1414.79150390625,5150.69921875,17810.1796875,3.0402681827545166
99–100,0.2597764730453491,4443.30322265625,1154.265625,3866.17041015625,12659.4794921875,2.849114418029785
"100 and over",1,3289.03759765625,3289.03759765625,8793.3095703125,8793.3095703125,2.673520565032959
"SOURCE: NCHS, National Vital Statistics System, Mortality.",,,,,,
