"Table 10. Life table for the Hispanic population: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
0–1,0.005087877158075571,100000,508.7877197265625,99549.2109375,8181661,81.81661224365234
1–2,0.0003121617191936821,99491.2109375,31.057348251342773,99475.6875,8082112,81.23442840576172
2–3,0.00018556055147200823,99460.15625,18.455881118774414,99450.9296875,7982636.5,80.2596435546875
3–4,0.00016239192336797714,99441.703125,16.148529052734375,99433.625,7883185.5,79.27444458007813
4–5,0.00010717516852309927,99425.5546875,10.655950546264648,99420.2265625,7783751.5,78.2872314453125
5–6,0.0001137564322561957,99414.8984375,11.309083938598633,99409.2421875,7684331.5,77.29557037353516
6–7,0.00010563300020294264,99403.5859375,10.500299453735352,99398.3359375,7584922,76.30430603027344
7–8,9.858961857389659E-05,99393.0859375,9.799126625061035,99388.1875,7485524,75.31232452392578
8–9,9.029905777424574E-05,99383.2890625,8.974217414855957,99378.796875,7386135.5,74.31969451904297
9–10,8.142750448314473E-05,99374.3125,8.091802597045898,99370.265625,7286757,73.32636260986328
10–11,7.583719707326964E-05,99366.21875,7.535655498504639,99362.453125,7187386.5,72.33229064941406
11–12,8.023132977541536E-05,99358.6796875,7.971679210662842,99354.6953125,7088024,71.3377456665039
12–13,0.00010272670624544844,99350.7109375,10.205971717834473,99345.609375,6988669.5,70.34342956542969
13–14,0.00014850395382381976,99340.5078125,14.752458572387695,99333.1328125,6889324,69.35060119628906
14–15,0.0002129159984178841,99325.7578125,21.148042678833008,99315.1875,6789991,68.36082458496094
15–16,0.00028639662195928395,99304.609375,28.44050407409668,99290.390625,6690675.5,67.37527465820313
16–17,0.00036069934139959514,99276.171875,35.8088493347168,99258.265625,6591385,66.3944320678711
17–18,0.0004346763016656041,99240.359375,43.13743209838867,99218.7890625,6492127,65.418212890625
18–19,0.000503299932461232,99197.21875,49.92595291137695,99172.25,6392908,64.44644165039063
19–20,0.0005661924951709807,99147.2890625,56.136451721191406,99119.21875,6293736,63.4786491394043
20–21,0.000629114278126508,99091.15625,62.33966064453125,99059.984375,6194616.5,62.51432418823242
21–22,0.0006915321573615074,99028.8203125,68.48161315917969,98994.578125,6095556.5,61.55335998535156
22–23,0.000745431229006499,98960.3359375,73.76812744140625,98923.453125,5996562,60.595611572265625
23–24,0.000788327248301357,98886.5703125,77.9549789428711,98847.59375,5897638.5,59.640438079833984
24–25,0.0008221250609494746,98808.6171875,81.23303985595703,98768,5798791,58.68709945678711
25–26,0.0008531053317710757,98727.3828125,84.224853515625,98685.265625,5700023,57.7349739074707
26–27,0.0008823768584989011,98643.15625,87.04043579101563,98599.640625,5601338,56.78384780883789
27–28,0.0009055989794433117,98556.1171875,89.2523193359375,98511.4921875,5502738,55.83354949951172
28–29,0.0009226452093571424,98466.8671875,90.84998321533203,98421.4375,5404226.5,54.883705139160156
29–30,0.0009359297109767795,98376.015625,92.07303619384766,98329.984375,5305805,53.933929443359375
30–31,0.0009464407339692116,98283.9453125,93.01992797851563,98237.4375,5207475,52.983985900878906
31–32,0.0009590444969944656,98190.921875,94.16946411132813,98143.8359375,5109238,52.03371047973633
32–33,0.0009793400531634688,98096.75,96.07007598876953,98048.71875,5011094,51.08317947387695
33–34,0.0010106244590133429,98000.6796875,99.04188537597656,97951.15625,4913045,50.13276290893555
34–35,0.0010503253433853388,97901.640625,102.82857513427734,97850.2265625,4815094,49.18297576904297
35–36,0.0010967436246573925,97798.8125,107.26022338867188,97745.1875,4717244,48.23416519165039
36–37,0.001144259236752987,97691.5546875,111.78446197509766,97635.6640625,4619498.5,47.28657150268555
37–38,0.0011884676059708,97579.7734375,115.97039794921875,97521.7890625,4521863,46.34016799926758
38–39,0.0012272869935259223,97463.8046875,119.61605834960938,97404,4424341,45.39470672607422
39–40,0.0012659478234127164,97344.1875,123.232666015625,97282.5703125,4326937,44.44987487792969
40–41,0.001309343846514821,97220.953125,127.295654296875,97157.3046875,4229654.5,43.505584716796875
41–42,0.001367258606478572,97093.65625,132.75213623046875,97027.28125,4132497.25,42.56196975708008
42–43,0.0014480693498626351,96960.90625,140.40611267089844,96890.703125,4035470,41.61955642700195
43–44,0.0015581122133880854,96820.5,150.85720825195313,96745.0703125,3938579.25,40.6791877746582
44–45,0.0016941215144470334,96669.640625,163.77011108398438,96587.75,3841834.25,39.74188995361328
45–46,0.0018427419709041715,96505.8671875,177.83541870117188,96416.953125,3745246.5,38.8084831237793
46–47,0.0020040241070091724,96328.03125,193.043701171875,96231.5078125,3648829.5,37.879207611083984
47–48,0.0021924793254584074,96134.984375,210.7739715576172,96029.59375,3552598,36.95426940917969
48–49,0.002413956681266427,95924.2109375,231.556884765625,95808.4375,3456568.5,36.03437042236328
49–50,0.002665827516466379,95692.65625,255.10011291503906,95565.109375,3360760,35.12035369873047
50–51,0.0029471181333065033,95437.5546875,281.2657470703125,95296.921875,3265195,34.212894439697266
51–52,0.0032450330909341574,95156.2890625,308.7853088378906,95001.890625,3169898,33.31254196166992
52–53,0.0035458358470350504,94847.5,336.31365966796875,94679.34375,3074896.25,32.419368743896484
53–54,0.0038390844129025936,94511.1875,362.83642578125,94329.765625,2980216.75,31.53295135498047
54–55,0.004132545553147793,94148.3515625,389.0723571777344,93953.8125,2885887,30.652549743652344
55–56,0.004433623515069485,93759.28125,415.693359375,93551.4375,2791933.25,29.777673721313477
56–57,0.004767053760588169,93343.5859375,444.9739074707031,93121.09375,2698381.75,28.908058166503906
