"Table 11. Life table for Hispanic males: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
0–1,0.0053874836303293705,100000,538.7483520507813,99524.8203125,7909651,79.09651184082031
1–2,0.0003169318661093712,99461.25,31.52243995666504,99445.484375,7810126,78.52430725097656
2–3,0.00020561042765621096,99429.7265625,20.443788528442383,99419.5,7710680.5,77.5490493774414
3–4,0.0001931635633809492,99409.28125,19.202251434326172,99399.6796875,7611261,76.56489562988281
4–5,0.00011326335516059771,99390.078125,11.257253646850586,99384.453125,7511861.5,75.57958984375
5–6,0.00012153355055488646,99378.8203125,12.077860832214355,99372.78125,7412477,74.58809661865234
6–7,0.00011073660425608978,99366.7421875,11.003535270690918,99361.2421875,7313104,73.59709930419922
7–8,0.00010168200242333114,99355.7421875,10.102690696716309,99350.6875,7213743,72.60519409179688
8–9,9.163562208414078E-05,99345.640625,9.103599548339844,99341.09375,7114392.5,71.6125259399414
9–10,8.160215656971559E-05,99336.5390625,8.10607624053955,99332.484375,7015051,70.6190414428711
10–11,7.658268441446126E-05,99328.4296875,7.606837749481201,99324.625,6915718.5,69.62476348876953
11–12,8.513869397575036E-05,99320.8203125,8.456045150756836,99316.59375,6816394,68.63005828857422
12–13,0.00011761934729292989,99312.3671875,11.681056022644043,99306.53125,6717077.5,67.6358642578125
13–14,0.00018073082901537418,99300.6875,17.94669532775879,99291.71875,6617771,66.64376068115234
14–15,0.00026889273431152105,99282.7421875,26.696407318115234,99269.390625,6518479,65.65570831298828
15–16,0.0003687497810460627,99256.046875,36.60064697265625,99237.75,6419210,64.6732406616211
16–17,0.00047134773922152817,99219.4453125,46.76686096191406,99196.0625,6319972,63.6969108581543
17–18,0.0005781992222182453,99172.6796875,57.34156799316406,99144.0078125,6220776,62.72671127319336
18–19,0.0006839160341769457,99115.3359375,67.78656768798828,99081.4375,6121632,61.76271438598633
19–20,0.0007859445177018642,99047.546875,77.84587860107422,99008.625,6022550.5,60.80464172363281
20–21,0.0008880090899765491,98969.703125,87.88599395751953,98925.765625,5923542,59.852073669433594
21–22,0.0009874181123450398,98881.8203125,97.63770294189453,98833,5824616,58.904823303222656
22–23,0.0010744259925559163,98784.1796875,106.13629150390625,98731.109375,5725783,57.96255111694336
23–24,0.0011450416641309857,98678.046875,112.990478515625,98621.546875,5627052,57.024356842041016
24–25,0.00120128586422652,98565.0546875,118.4048080444336,98505.8515625,5528430.5,56.08915328979492
25–26,0.0012543811462819576,98446.6484375,123.48961639404297,98384.90625,5429924.5,55.15601348876953
26–27,0.0013027763925492764,98323.15625,128.0930938720703,98259.109375,5331540,54.22466278076172
27–28,0.0013344223843887448,98195.0625,131.03369140625,98129.546875,5233280.5,53.294742584228516
28–29,0.0013466272503137589,98064.03125,132.05569458007813,97998,5135151,52.36528396606445
29–30,0.0013456868473440409,97931.9765625,131.7857666015625,97866.078125,5037153,51.43522262573242
30–31,0.001335939159616828,97800.1875,130.6551055908203,97734.859375,4939287,50.50386047363281
31–32,0.0013308706693351269,97669.53125,129.9855194091797,97604.5390625,4841552,49.57075119018555
32–33,0.0013437358429655433,97539.546875,131.0673828125,97474.015625,4743947.5,48.63614273071289
33–34,0.0013836766593158245,97408.4765625,134.78182983398438,97341.0859375,4646473.5,47.7009162902832
34–35,0.0014440166996791959,97273.6953125,140.46484375,97203.46875,4549132.5,46.76631546020508
35–36,0.0015148643869906664,97133.234375,147.1436767578125,97059.6640625,4451929,45.833221435546875
36–37,0.0015835888916626573,96986.09375,153.5861053466797,96909.296875,4354869.5,44.902000427246094
37–38,0.0016457487363368273,96832.5078125,159.3619842529297,96752.828125,4257960,43.9724235534668
38–39,0.0016967367846518755,96673.1484375,164.0288848876953,96591.1328125,4161207.25,43.04408645629883
39–40,0.001743509084917605,96509.1171875,168.2645263671875,96424.984375,4064616.25,42.116397857666016
40–41,0.0017981968121603131,96340.8515625,173.23980712890625,96254.234375,3968191.25,41.189083099365234
41–42,0.0018712491728365421,96167.609375,179.95355224609375,96077.6328125,3871937,40.26238250732422
42–43,0.0019641267135739326,95987.65625,188.53192138671875,95893.390625,3775859.25,39.3369255065918
43–44,0.002081223065033555,95799.125,199.3793487548828,95699.4375,3679966,38.41335678100586
44–45,0.002222285605967045,95599.7421875,212.44993591308594,95493.515625,3584266.5,37.492427825927734
45–46,0.0023725307546555996,95387.2890625,226.3092803955078,95274.1328125,3488773,36.57482147216797
46–47,0.002542925300076604,95160.9765625,241.9872589111328,95039.984375,3393498.75,35.660614013671875
47–48,0.0027633262798190117,94918.9921875,262.2921447753906,94787.84375,3298458.75,34.75025177001953
48–49,0.0030494353268295527,94656.703125,288.6495056152344,94512.375,3203671,33.845157623291016
49–50,0.0033929336350411177,94368.0546875,320.1845397949219,94207.9609375,3109158.5,32.94715118408203
50–51,0.0037801936268806458,94047.8671875,355.5191345214844,93870.109375,3014950.75,32.057621002197266
51–52,0.004184409976005554,93692.3515625,392.0472106933594,93496.328125,2921080.5,31.177364349365234
52–53,0.004589580465108156,93300.3046875,428.2092590332031,93086.203125,2827584.25,30.306270599365234
53–54,0.004978915676474571,92872.09375,462.4023132324219,92640.890625,2734498,29.44369888305664
54–55,0.005363679025322199,92409.6953125,495.65594482421875,92161.8671875,2641857.25,28.588529586791992
55–56,0.0057613966055214405,91914.0390625,529.55322265625,91649.265625,2549695.25,27.73999786376953
56–57,0.0062031070701777935,91384.484375,566.8677368164063,91101.046875,2458046,26.89784812927246
57–58,0.006711025256663561,90817.6171875,609.4793090820313,90512.875,2366945,26.062620162963867
58–59,0.00731122400611639,90208.140625,659.5319213867188,89878.375,2276432,25.235328674316406
59–60,0.00799860805273056,89548.609375,716.2642211914063,89190.4765625,2186553.75,24.41750717163086
60–61,0.00877463910728693,88832.34375,779.4717407226563,88442.609375,2097363.25,23.610355377197266
61–62,0.009595267474651337,88052.875,844.890869140625,87630.4296875,2008920.625,22.8149356842041
62–63,0.010402752086520195,87207.984375,907.2030639648438,86754.3828125,1921290.125,22.031126022338867
63–64,0.011143744923174381,86300.78125,961.7138671875,85819.921875,1834535.75,21.257463455200195
64–65,0.011837705969810486,85339.0703125,1010.2188110351563,84833.9609375,1748715.875,20.49138641357422
65–66,0.012553813867270947,84328.8515625,1058.648681640625,83799.53125,1663881.875,19.730873107910156
66–67,0.01336726825684309,83270.203125,1113.0950927734375,82713.65625,1580082.375,18.97536277770996
67–68,0.014291047118604183,82157.109375,1174.111083984375,81570.0546875,1497368.75,18.225675582885742
68–69,0.015373271889984608,80983,1244.9736328125,80360.515625,1415798.625,17.482664108276367
69–70,0.01662287302315235,79738.0234375,1325.47509765625,79075.28125,1335438.125,16.747819900512695
70–71,0.018019787967205048,78412.546875,1412.9774169921875,77706.0625,1256362.875,16.022472381591797
71–72,0.019553912803530693,76999.5703125,1505.6429443359375,76246.75,1178656.875,15.307317733764648
72–73,0.02125806361436844,75493.9296875,1604.854736328125,74691.5,1102410.125,14.602632522583008
73–74,0.0231422521173954,73889.078125,1709.959716796875,73034.09375,1027718.5625,13.908937454223633
74–75,0.02523297630250454,72179.1171875,1821.2939453125,71268.46875,954684.5,13.226602554321289
75–76,0.027549730613827705,70357.8203125,1938.3389892578125,69388.65625,883416,12.556045532226563
76–77,0.030164841562509537,68419.484375,2063.86279296875,67387.5546875,814027.375,11.897595405578613
77–78,0.033303599804639816,66355.625,2209.881103515625,65250.68359375,746639.8125,11.252095222473145
78–79,0.03680303692817688,64145.7421875,2360.758056640625,62965.36328125,681389.125,10.622515678405762
79–80,0.0408441536128521,61784.984375,2523.555419921875,60523.20703125,618423.75,10.009288787841797
80–81,0.045360613614320755,59261.4296875,2688.134765625,57917.36328125,557900.5625,9.414227485656738
81–82,0.050408266484737396,56573.296875,2851.76171875,55147.4140625,499983.1875,8.837794303894043
82–83,0.05613492429256439,53721.53515625,3015.654296875,52213.7109375,444835.75,8.280399322509766
83–84,0.06288377940654755,50705.8828125,3188.57763671875,49111.59375,392622.0625,7.743126392364502
84–85,0.07005476951599121,47517.3046875,3328.813720703125,45852.8984375,343510.46875,7.229165554046631
85–86,0.0781993716955185,44188.4921875,3455.51220703125,42460.734375,297657.5625,6.736087799072266
86–87,0.08647869527339935,40732.98046875,3522.534912109375,38971.7109375,255196.828125,6.265115737915039
87–88,0.09753059595823288,37210.4453125,3629.156982421875,35395.8671875,216225.109375,5.810871124267578
88–89,0.10970157384872437,33581.2890625,3683.920166015625,31739.328125,180829.25,5.38482141494751
89–90,0.12303020805120468,29897.369140625,3678.279541015625,28058.23046875,149089.921875,4.986723899841309
90–91,0.13753758370876312,26219.08984375,3606.1103515625,24416.03515625,121031.6875,4.616166591644287
91–92,0.15322332084178925,22612.98046875,3464.8359375,20880.5625,96615.65625,4.2725749015808105
92–93,0.17006167769432068,19148.14453125,3256.365478515625,17519.9609375,75735.09375,3.9552183151245117
93–94,0.18799860775470734,15891.779296875,2987.63232421875,14397.962890625,58215.1328125,3.6632230281829834
94–95,0.20694972574710846,12904.146484375,2670.509521484375,11568.8916015625,43817.16796875,3.3955881595611572
95–96,0.22679969668388367,10233.63671875,2320.985595703125,9073.14453125,32248.27734375,3.1512041091918945
96–97,0.24740372598171234,7912.6513671875,1957.619384765625,6933.841796875,23175.1328125,2.928870677947998
97–98,0.26859036087989807,5955.0322265625,1599.4642333984375,5155.2998046875,16241.291015625,2.7273221015930176
98–99,0.29016679525375366,4355.56787109375,1263.8411865234375,3723.647216796875,11085.9912109375,2.545245885848999
99–100,0.31192538142204285,3091.7265625,964.3880004882813,2609.53271484375,7362.34375,2.381304979324341
"100 and over",1,2127.338623046875,2127.338623046875,4752.81103515625,4752.81103515625,2.2341582775115967
"NOTES: This life table is based on death rates that have been adjusted for race and ethnicity misclassification on death certificates. Updated classification ratios were applied; see Technical Notes.",,,,,,
"SOURCE: NCHS, National Vital Statistics System, Mortality.",,,,,,
