"Table 12. Life table for Hispanic females: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
0–1,0.004774351604282856,100000,477.4351501464844,99575.078125,8430736,84.30735778808594
1–2,0.0003016673435922712,99522.5625,30.022706985473633,99507.546875,8331161,83.7112808227539
2–3,0.00016077011241577566,99492.5390625,15.995427131652832,99484.546875,8231653.5,82.73638916015625
3–4,0.00012644460366573185,99476.546875,12.578272819519043,99470.2578125,8132169,81.7496109008789
4–5,9.877653792500496E-05,99463.96875,9.824706077575684,99459.0546875,8032698.5,80.75988006591797
5–6,0.00010343184840166941,99454.140625,10.286725997924805,99449,7933239.5,79.76781463623047
6–7,9.871400106931105E-05,99443.8515625,9.816500663757324,99438.9375,7833790.5,78.77601623535156
7–8,9.404579759575427E-05,99434.03125,9.35135269165039,99429.359375,7734351.5,77.78374481201172
8–9,8.73443714226596E-05,99424.6796875,8.684185981750488,99420.3359375,7634922.5,76.791015625
9–10,7.895830640336499E-05,99415.9921875,7.8497185707092285,99412.0625,7535502,75.79768371582031
10–11,7.182967965491116E-05,99408.140625,7.1404547691345215,99404.5703125,7436090,74.80363464355469
11–12,7.119473593775183E-05,99401,7.0768280029296875,99397.4609375,7336685.5,73.80896759033203
12–13,8.340541535289958E-05,99393.921875,8.28999137878418,99389.78125,7237288,72.81419372558594
13–14,0.00011238228034926578,99385.6328125,11.169183731079102,99380.046875,7137898,71.82022094726563
14–15,0.00015404936857521534,99374.4609375,15.308572769165039,99366.8125,7038518,70.82823944091797
15–16,0.00020264156046323478,99359.15625,20.134294509887695,99349.09375,6939151.5,69.83907318115234
16–17,0.00024952145759016275,99339.0234375,24.78721809387207,99326.625,6839802,68.8531265258789
17–18,0.00028942423523403704,99314.234375,28.743946075439453,99299.859375,6740475.5,67.87018585205078
18–19,0.0003167718241456896,99285.4921875,31.45084571838379,99269.765625,6641175.5,66.88968658447266
19–20,0.00033409122261218727,99254.0390625,33.15990447998047,99237.4609375,6541906,65.91072845458984
20–21,0.0003502081090118736,99220.8828125,34.74795913696289,99203.5078125,6442668.5,64.93258666992188
21–22,0.00036845216527581215,99186.1328125,36.545345306396484,99167.859375,6343465,63.95515823364258
22–23,0.0003835443640127778,99149.5859375,38.028263092041016,99130.5703125,6244297,62.97854995727539
23–24,0.00039542283047921956,99111.5546875,39.19097137451172,99091.9609375,6145166.5,62.002525329589844
24–25,0.00040529327816329896,99072.3671875,40.15336608886719,99052.2890625,6046074.5,61.026851654052734
25–26,0.00041315186535939574,99032.2109375,40.91534423828125,99011.75,5947022.5,60.051395416259766
26–27,0.000421906792325899,98991.296875,41.76510238647461,98970.4140625,5848010.5,59.07600784301758
27–28,0.00043551248381845653,98949.53125,43.09375762939453,98927.984375,5749040,58.100730895996094
28–29,0.00045641293399967253,98906.4375,45.14217758178711,98883.8671875,5650112,57.12582778930664
29–30,0.0004833180282730609,98861.296875,47.78144836425781,98837.40625,5551228.5,56.15168762207031
30–31,0.0005138636333867908,98813.515625,50.77667236328125,98788.125,5452391,55.17859649658203
31–32,0.0005445900605991483,98762.7421875,53.78520965576172,98735.84375,5353602.5,54.206703186035156
32–33,0.0005736772436648607,98708.953125,56.627079010009766,98680.640625,5254867,53.23596954345703
33–34,0.0005987329059280455,98652.328125,59.0663948059082,98622.796875,5156186.5,52.26624298095703
