"Table 13. Life table for the non-Hispanic white population: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
0–1,0.00467101251706481,100000,467.10125732421875,99590.3515625,7851963.5,78.51963806152344
1–2,0.00034370957291685045,99532.8984375,34.210411071777344,99515.796875,7752373,77.88754272460938
2–3,0.00023875704209785908,99498.6875,23.756011962890625,99486.8125,7652857.5,76.91415405273438
3–4,0.00017273722914978862,99474.9296875,17.18302345275879,99466.34375,7553370.5,75.93240356445313
4–5,0.00013694124936591834,99457.75,13.619868278503418,99450.9375,7453904,74.9454345703125
5–6,0.00012904508912470192,99444.1328125,12.83277702331543,99437.71875,7354453,73.95562744140625
6–7,0.00011356104369042441,99431.296875,11.291522026062012,99425.65625,7255015.5,72.9651107788086
7–8,0.0001019339615595527,99420.0078125,10.134275436401367,99414.9375,7155590,71.97334289550781
8–9,9.302723628934473E-05,99409.875,9.247825622558594,99405.25,7056175,70.98062133789063
9–10,8.773283479968086E-05,99400.625,8.720698356628418,99396.265625,6956769.5,69.9871826171875
10–11,8.898998203221709E-05,99391.90625,8.844883918762207,99387.484375,6857373.5,68.99327850341797
11–12,0.00010140360245713964,99383.0625,10.077800750732422,99378.0234375,6757986,67.99937438964844
12–13,0.00013017702440265566,99372.984375,12.936079025268555,99366.515625,6658608,67.00621795654297
13–14,0.0001782575127435848,99360.046875,17.7116756439209,99351.1875,6559241.5,66.01487731933594
14–15,0.00024219200713559985,99342.3359375,24.059919357299805,99330.3046875,6459890,65.02655792236328
15–16,0.0003124915820080787,99318.2734375,31.03612518310547,99302.75,6360560,64.04219055175781
16–17,0.0003866810875479132,99287.234375,38.392494201660156,99268.0390625,6261257,63.06205368041992
17–18,0.0004704972088802606,99248.84375,46.69630432128906,99225.5,6161989,62.08625411987305
18–19,0.0005637758877128363,99202.1484375,55.92778015136719,99174.1875,6062763.5,61.1152458190918
19–20,0.0006629413110204041,99146.21875,65.7281265258789,99113.359375,5963589.5,60.14944076538086
20–21,0.0007660074043087661,99080.4921875,75.89639282226563,99042.546875,5864476,59.18900680541992
21–22,0.0008670052047818899,99004.59375,85.8375015258789,98961.671875,5765433.5,58.23400115966797
22–23,0.000958590186201036,98918.7578125,94.82254791259766,98871.34375,5666472,57.28409957885742
23–24,0.0010356107959523797,98823.9375,102.3431396484375,98772.765625,5567600.5,56.33858108520508
24–25,0.0011006395798176527,98721.59375,108.65689086914063,98667.265625,5468827.5,55.39646530151367
25–26,0.001160403829999268,98612.9375,114.43083190917969,98555.71875,5370160.5,54.45695877075195
26–27,0.0012197606265544891,98498.5078125,120.14459991455078,98438.4375,5271604.5,53.51963806152344
27–28,0.0012786976294592023,98378.359375,125.79617309570313,98315.4609375,5173166,52.584388732910156
28–29,0.0013404880883172154,98252.5625,131.70639038085938,98186.7109375,5074851,51.65108108520508
29–30,0.0014055052306503057,98120.859375,137.9093780517578,98051.90625,4976664,50.71973419189453
30–31,0.0014741792110726237,97982.953125,144.44442749023438,97910.734375,4878612,49.7904167175293
31–32,0.0015420865966007113,97838.5078125,150.87545776367188,97763.0703125,4780701.5,48.863189697265625
32–33,0.0016042127972468734,97687.6328125,156.7117462158203,97609.28125,4682938.5,47.93788528442383
33–34,0.0016565859550610185,97530.921875,161.568359375,97450.140625,4585329,47.01410675048828
34–35,0.001702281180769205,97369.3515625,165.75001525878906,97286.4765625,4487879,46.09128952026367
35–36,0.0017536842497065663,97203.6015625,170.4644317626953,97118.375,4390592.5,45.169029235839844
36–37,0.0018124358030036092,97033.140625,175.8663330078125,96945.203125,4293474,44.247501373291016
37–38,0.0018700264627113938,96857.2734375,181.12567138671875,96766.7109375,4196529,43.32693862915039
38–39,0.0019274192163720727,96676.1484375,186.33546447753906,96582.984375,4099762.25,42.40717315673828
39–40,0.001992066390812397,96489.8125,192.214111328125,96393.703125,4003179.25,41.488101959228516
40–41,0.002075737342238426,96297.6015625,199.88853454589844,96197.65625,3906785.5,40.569915771484375
41–42,0.0021849162876605988,96097.7109375,209.9654541015625,95992.7265625,3810587.75,39.653263092041016
42–43,0.0023146835155785084,95887.7421875,221.9497833251953,95776.765625,3714595,38.73899841308594
43–44,0.0024584059137851,95665.7890625,235.1853485107422,95548.1953125,3618818.25,37.82771682739258
44–45,0.0026133444625884295,95430.6015625,249.39303588867188,95305.90625,3523270.25,36.91971206665039
45–46,0.002779540605843067,95181.2109375,264.5600280761719,95048.9296875,3427964.25,36.01513671875
46–47,0.0029689730145037174,94916.6484375,281.8049621582031,94775.75,3332915.25,35.11412811279297
47–48,0.003193717682734132,94634.84375,302.2369689941406,94483.7265625,3238139.5,34.217201232910156
48–49,0.0034668073058128357,94332.609375,327.0329895019531,94169.09375,3143655.75,33.32522964477539
49–50,0.00378822791390121,94005.578125,356.11456298828125,93827.515625,3049486.75,32.439422607421875
50–51,0.0041290707886219025,93649.4609375,386.68524169921875,93456.1171875,2955659.25,31.56087875366211
51–52,0.004492057021707296,93262.7734375,418.94171142578125,93053.296875,2862203,30.68966293334961
52–53,0.004907687660306692,92843.828125,455.64849853515625,92616,2769149.75,29.825889587402344
53–54,0.005372818559408188,92388.1796875,496.3849182128906,92139.984375,2676533.75,28.970521926879883
54–55,0.0058643450029194355,91891.796875,538.8851928710938,91622.359375,2584393.75,28.124313354492188
55–56,0.006362960208207369,91352.9140625,581.2749633789063,91062.28125,2492771.5,27.287267684936523
56–57,0.006859085522592068,90771.640625,622.6104736328125,90460.3359375,2401709.25,26.45880699157715
57–58,0.007360674906522036,90149.03125,663.5577392578125,89817.25,2311248.75,25.63808822631836
