"Table 14. Life table for non-Hispanic white males: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
0–1,0.005167508497834206,100000,516.7508544921875,99547.328125,7608532.5,76.0853271484375
1–2,0.0004360081220511347,99483.25,43.37550354003906,99461.5625,7508985.5,75.47989654541016
2–3,0.00031904393108561635,99439.875,31.725688934326172,99424.015625,7409524,74.51260375976563
3–4,0.00020406859403010458,99408.1484375,20.286081314086914,99398,7310100,73.53622436523438
4–5,0.00016519725613761693,99387.859375,16.418601989746094,99379.6484375,7210702,72.55113220214844
5–6,0.00015668988635297865,99371.4375,15.570499420166016,99363.65625,7111322,71.56304168701172
6–7,0.0001353574189124629,99355.8671875,13.448554039001465,99349.140625,7011958.5,70.57417297363281
7–8,0.00011955267837038264,99342.421875,11.876652717590332,99336.484375,6912609.5,69.58366394042969
8–9,0.00010800491872942075,99330.546875,10.728187561035156,99325.1875,6813273,68.5919189453125
9–10,0.00010198998643318191,99319.8203125,10.129627227783203,99314.75,6713947.5,67.59927368164063
10–11,0.00010535028559388593,99309.6875,10.46230411529541,99304.453125,6614633,66.60611724853516
11–12,0.00012401700951159,99299.2265625,12.314793586730957,99293.0703125,6515328.5,65.61308288574219
12–13,0.0001646785094635561,99286.9140625,16.350421905517578,99278.734375,6416035.5,64.62116241455078
13–14,0.00023119457182474434,99270.5625,22.950815200805664,99259.0859375,6316756.5,63.631717681884766
14–15,0.0003193418378941715,99247.609375,31.69391441345215,99231.765625,6217497.5,62.64632034301758
15–16,0.000415182817960158,99215.9140625,41.19274139404297,99195.3125,6118266,61.666175842285156
16–17,0.0005173172685317695,99174.71875,51.30479431152344,99149.0625,6019070.5,60.69158172607422
17–18,0.0006366691086441278,99123.4140625,63.10881423950195,99091.859375,5919921.5,59.72273635864258
18–19,0.0007740551372990012,99060.3046875,76.67813873291016,99021.96875,5820829.5,58.76046371459961
19–20,0.0009223719825968146,98983.625,91.29972076416016,98937.9765625,5721807.5,57.80559539794922
20–21,0.0010757941054180264,98892.328125,106.38778686523438,98839.1328125,5622869.5,56.85850143432617
21–22,0.0012236395850777626,98785.9375,120.87837982177734,98725.5,5524030.5,55.9192008972168
22–23,0.0013557341881096363,98665.0625,133.7635955810547,98598.1796875,5425305,54.98709487915039
23–24,0.0014644102193415165,98531.296875,144.2902374267578,98459.15625,5326707,54.061065673828125
24–25,0.0015537450090050697,98387.0078125,152.86831665039063,98310.578125,5228247.5,53.13961410522461
25–26,0.001635512337088585,98234.140625,160.66314697265625,98153.8125,5129937,52.221527099609375
26–27,0.0017153567168861628,98073.4765625,168.2310028076172,97989.359375,5031783.5,51.3062629699707
27–28,0.0017896489007398486,97905.2421875,175.21600341796875,97817.6328125,4933794,50.39356231689453
28–29,0.001861414173617959,97730.0234375,181.91604614257813,97639.0625,4835976.5,49.48301696777344
29–30,0.0019322697771713138,97548.109375,188.4892578125,97453.859375,4738337,48.57435989379883
30–31,0.002004471840336919,97359.6171875,195.1546173095703,97262.0390625,4640883.5,47.66743850708008
31–32,0.002074994146823883,97164.4609375,201.61569213867188,97063.65625,4543621.5,46.762176513671875
32–33,0.002138799522072077,96962.84375,207.3840789794922,96859.15625,4446557.5,45.85836410522461
33–34,0.002192458603531122,96755.4609375,212.13233947753906,96649.390625,4349698.5,44.95558547973633
34–35,0.0022390943486243486,96543.328125,216.16961669921875,96435.2421875,4253049,44.05326843261719
35–36,0.002292211167514324,96327.15625,220.80218505859375,96216.75,4156614,43.15100860595703
36–37,0.0023525282740592957,96106.3515625,226.09291076660156,95993.3046875,4060397.25,42.249000549316406
37–38,0.0024096984416246414,95880.2578125,231.04251098632813,95764.734375,3964403.75,41.34744644165039
38–39,0.0024640674237161875,95649.21875,235.68612670898438,95531.375,3868639,40.44611358642578
39–40,0.0025249365717172623,95413.53125,240.91311645507813,95293.078125,3773107.75,39.5447883605957
40–41,0.002607466885820031,95172.6171875,248.15945434570313,95048.5390625,3677814.75,38.64362335205078
41–42,0.002721223048865795,94924.4609375,258.3106384277344,94795.3046875,3582766,37.74333953857422
42–43,0.0028620294760912657,94666.1484375,270.93731689453125,94530.6796875,3487970.75,36.84496307373047
43–44,0.0030240556225180626,94395.2109375,285.45635986328125,94252.484375,3393440.25,35.949283599853516
44–45,0.0032039249781519175,94109.7578125,301.5205993652344,93959,3299187.75,35.05680847167969
45–46,0.003399623092263937,93808.234375,318.9126281738281,93648.78125,3205228.75,34.16788101196289
46–47,0.0036249293480068445,93489.3203125,338.8921813964844,93319.875,3111579.75,33.28273010253906
47–48,0.0038958813529461622,93150.4296875,362.90301513671875,92968.9765625,3018260,32.40199661254883
48–49,0.004228784237056971,92787.5234375,392.37841796875,92591.3359375,2925291,31.526771545410156
49–50,0.0046240040101110935,92395.1484375,427.23553466796875,92181.53125,2832699.75,30.658533096313477
50–51,0.005045779049396515,91967.9140625,464.0497741699219,91735.890625,2740518.25,29.798633575439453
51–52,0.005497461184859276,91503.8671875,503.0389709472656,91252.34375,2648782.25,28.947216033935547
52–53,0.00601732125505805,91000.828125,547.5812377929688,90727.0390625,2557530,28.104469299316406
53–54,0.006601321045309305,90453.25,597.1109619140625,90154.6953125,2466802.75,27.271575927734375
54–55,0.007220312021672726,89856.140625,648.7893676757813,89531.75,2376648.25,26.449480056762695
55–56,0.007843833416700363,89207.3515625,699.7276000976563,88857.484375,2287116.5,25.638206481933594
56–57,0.00846506655216217,88507.625,749.2229614257813,88133.015625,2198259,24.836944580078125
57–58,0.009105163626372814,87758.3984375,799.0545654296875,87358.875,2110126,24.04471778869629
58–59,0.009785041213035583,86959.34375,850.9007568359375,86533.890625,2022767,23.261066436767578
59–60,0.010517257265746593,86108.4453125,905.6246948242188,85655.6328125,1936233.125,22.485984802246094
60–61,0.011316667310893536,85202.8203125,964.2119750976563,84720.71875,1850577.5,21.719675064086914
61–62,0.012156859040260315,84238.609375,1024.076904296875,83726.5703125,1765856.75,20.96255874633789
62–63,0.013004963286221027,83214.53125,1082.201904296875,82673.4296875,1682130.25,20.214380264282227
63–64,0.013836630620062351,82132.328125,1136.4346923828125,81564.109375,1599456.75,19.474143981933594
64–65,0.014674313366413116,80995.890625,1188.55908203125,80401.609375,1517892.75,18.740367889404297
65–66,0.015548772178590298,79807.328125,1240.906005859375,79186.875,1437491.125,18.012020111083984
66–67,0.016596945002675056,78566.421875,1303.9625244140625,77914.4375,1358304.25,17.288610458374023
67–68,0.01776987686753273,77262.4609375,1372.9444580078125,76575.984375,1280389.75,16.571950912475586
68–69,0.019113238900899887,75889.515625,1450.494384765625,75164.265625,1203813.75,15.862714767456055
69–70,0.02073528617620468,74439.0234375,1543.514404296875,73667.265625,1128649.5,15.162067413330078
70–71,0.02226247452199459,72895.5078125,1622.8343505859375,72084.09375,1054982.25,14.472527503967285
71–72,0.02451625093817711,71272.671875,1747.3387451171875,70399,982898.1875,13.790674209594727
72–73,0.02651132456958294,69525.3359375,1843.208740234375,68603.734375,912499.1875,13.124700546264648
73–74,0.028988711535930634,67682.125,1962.017578125,66701.1171875,843895.4375,12.468512535095215
74–75,0.031511515378952026,65720.109375,2070.940185546875,64684.640625,777194.3125,11.825821876525879
75–76,0.034727178514003754,63649.16796875,2210.35595703125,62543.9921875,712509.6875,11.194328308105469
76–77,0.03831534460186958,61438.8125,2354.04931640625,60261.7890625,649965.6875,10.579072952270508
77–78,0.042619019746780396,59084.76171875,2518.134521484375,57825.6953125,589703.875,9.980642318725586
78–79,0.046907879412174225,56566.62890625,2653.420654296875,55239.91796875,531878.1875,9.402685165405273
79–80,0.051904257386922836,53913.20703125,2798.324951171875,52514.046875,476638.28125,8.84084415435791
80–81,0.057382646948099136,51114.8828125,2933.107177734375,49648.328125,424124.25,8.297471046447754
81–82,0.06331320106983185,48181.77734375,3050.54248046875,46656.5078125,374475.90625,7.772148132324219
82–83,0.07032822072505951,45131.234375,3173.99951171875,43544.234375,327819.40625,7.263692378997803
83–84,0.07856014370918274,41957.234375,3296.166259765625,40309.1484375,284275.15625,6.775354862213135
84–85,0.08726657927036285,38661.06640625,3373.819091796875,36974.15625,243966.015625,6.310379981994629
85–86,0.09710633754730225,35287.24609375,3426.615234375,33573.9375,206991.859375,5.865911483764648
86–87,0.1070573702454567,31860.630859375,3410.915283203125,30155.171875,173417.921875,5.443016052246094
87–88,0.12026246637105942,28449.71484375,3421.432861328125,26738.998046875,143262.75,5.035647869110107
88–89,0.13470430672168732,25028.28125,3371.417236328125,23342.572265625,116523.7578125,4.655683517456055
89–90,0.15040302276611328,21656.86328125,3257.2578125,20028.234375,93181.1796875,4.302616596221924
90–91,0.1673557013273239,18399.60546875,3079.27880859375,16859.96484375,73152.9453125,3.9757888317108154
91–92,0.18553252518177032,15320.326171875,2842.418701171875,13899.1171875,56292.984375,3.67439866065979
92–93,0.20487350225448608,12477.9072265625,2556.392578125,11199.7109375,42393.8671875,3.3975141048431396
93–94,0.22528663277626038,9921.5146484375,2235.1845703125,8803.921875,31194.154296875,3.144091844558716
94–95,0.24664735794067383,7686.330078125,1895.81298828125,6738.423828125,22390.232421875,2.912993907928467
95–96,0.26879996061325073,5790.51708984375,1556.49072265625,5012.271484375,15651.8095703125,2.703007221221924
96–97,0.291561096906662,4234.0263671875,1234.4774169921875,3616.78759765625,10639.5380859375,2.5128653049468994
97–98,0.31472498178482056,2999.548828125,944.032958984375,2527.5322265625,7022.75,2.34126877784729
98–99,0.3380705714225769,2055.515869140625,694.909423828125,1708.0611572265625,4495.2177734375,2.1869049072265625
99–100,0.3613697588443756,1360.6064453125,491.6820373535156,1114.765380859375,2787.15673828125,2.048466444015503
"100 and over",1,868.9244384765625,868.9244384765625,1672.391357421875,1672.391357421875,1.924668312072754
"NOTES: This life table is based on death rates that have been adjusted for race and ethnicity misclassification on death certificates. Updated classification ratios were applied; see Technical Notes.",,,,,,
"SOURCE: NCHS, National Vital Statistics System, Mortality.",,,,,,
