"Table 15. Life table for non-Hispanic white females: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
0–1,0.004147980362176895,100000,414.79803466796875,99635.8046875,8098114,80.98114013671875
1–2,0.0002495804219506681,99585.203125,24.854516983032227,99572.78125,7998478,80.31793975830078
2–3,0.00015952585090417415,99560.3515625,15.882450103759766,99552.40625,7898905.5,79.33786010742188
3–4,0.00013838132144883275,99544.46875,13.775094985961914,99537.578125,7799353,78.3504409790039
4–5,0.00010678546823328361,99530.6953125,10.628432273864746,99525.3828125,7699815.5,77.36121368408203
5–6,9.932601096807048E-05,99520.0703125,9.884931564331055,99515.125,7600290,76.36942291259766
6–7,8.949139009928331E-05,99510.1875,8.905304908752441,99505.734375,7500775,75.376953125
7–8,8.216108108172193E-05,99501.28125,8.175132751464844,99497.1953125,7401269,74.38365173339844
8–9,7.639617979293689E-05,99493.109375,7.600893497467041,99489.3125,7301772,73.38972473144531
9–10,7.261390419444069E-05,99485.5078125,7.2240309715271,99481.890625,7202282.5,72.39529418945313
10–11,7.26038560969755E-05,99478.28125,7.222506999969482,99474.671875,7102800.5,71.4005126953125
11–12,7.927433034637943E-05,99471.0625,7.885501861572266,99467.125,7003326,70.4056625366211
12–13,9.593532740836963E-05,99463.1796875,9.542032241821289,99458.40625,6903859,69.41120147705078
13–14,0.00012439017882570624,99453.640625,12.37105655670166,99447.453125,6804400.5,68.41780853271484
14–15,0.0001621906558284536,99441.2734375,16.12844467163086,99433.2109375,6704953,67.42626190185547
15–16,0.0002048707101494074,99425.1484375,20.369300842285156,99414.96875,6605520,66.43711853027344
16–17,0.00024909674539230764,99404.78125,24.76140785217285,99392.40625,6506105,65.45062255859375
17–18,0.0002950744528789073,99380.0234375,29.324506759643555,99365.359375,6406712.5,64.46680450439453
18–19,0.00034155105822719634,99350.6953125,33.93333435058594,99333.734375,6307347,63.485687255859375
19–20,0.0003885254554916173,99316.765625,38.587093353271484,99297.46875,6208013.5,62.507205963134766
20–21,0.00043781084241345525,99278.1796875,43.465065002441406,99256.4453125,6108716,61.531307220458984
21–22,0.0004887140821665525,99234.7109375,48.49740219116211,99210.4609375,6009459.5,60.558040618896484
22–23,0.0005376508343033493,99186.2109375,53.32754898071289,99159.546875,5910249,59.587406158447266
23–24,0.0005826750420965254,99132.8828125,57.76225662231445,99104,5811089.5,58.61919021606445
24–25,0.0006245250115171075,99075.1171875,61.8748893737793,99044.1796875,5711985.5,57.653079986572266
25–26,0.0006640409119427204,99013.2421875,65.74884033203125,98980.3671875,5612941,56.68878936767578
26–27,0.0007046482060104609,98947.4921875,69.72317504882813,98912.625,5513961,55.726131439208984
27–28,0.0007499214843846858,98877.765625,74.15055847167969,98840.6875,5415048,54.765071868896484
28–29,0.0008031029137782753,98803.6171875,79.34947204589844,98763.9375,5316207.5,53.8057975769043
29–30,0.0008633869583718479,98724.265625,85.23724365234375,98681.6484375,5217443.5,52.8486442565918
30–31,0.0009296939824707806,98639.03125,91.70411682128906,98593.1796875,5118762,51.89387893676758
31–32,0.0009963065385818481,98547.328125,98.183349609375,98498.234375,5020169,50.941707611083984
32–33,0.0010579780209809542,98449.1484375,104.15703582763672,98397.0703125,4921670.5,49.992008209228516
33–34,0.0011101368581876159,98344.9921875,109.17639923095703,98290.40625,4823273.5,49.0444221496582
34–35,0.0011558098485693336,98235.8125,113.54191589355469,98179.046875,4724983,48.0983772277832
35–36,0.0012063446920365095,98122.2734375,118.3692855834961,98063.09375,4626804,47.1534538269043
36–37,0.0012643055524677038,98003.90625,123.9068832397461,97941.953125,4528741,46.209800720214844
37–38,0.0013229427859187126,97880,129.48963928222656,97815.25,4430799,45.26766586303711
38–39,0.0013838273007422686,97750.5078125,135.2698211669922,97682.875,4332983.5,44.32696533203125
39–40,0.0014526019804179668,97615.234375,141.79608154296875,97544.3359375,4235301,43.3877067565918
40–41,0.001537748146802187,97473.4375,149.8896026611328,97398.4921875,4137756.5,42.45009231567383
41–42,0.001642701798118651,97323.546875,159.87356567382813,97243.609375,4040358,41.51470184326172
42–43,0.0017617453122511506,97163.671875,171.17764282226563,97078.078125,3943114.5,40.58218765258789
43–44,0.0018874385859817266,96992.4921875,183.06736755371094,96900.953125,3846036.25,39.65292739868164
44–45,0.002017739461734891,96809.421875,195.33619689941406,96711.75,3749135.25,38.726966857910156
45–46,0.0021546799689531326,96614.0859375,208.1724395751953,96510,3652423.5,37.804256439208984
46–47,0.0023086911533027887,96405.9140625,222.5714874267578,96294.625,3555913.5,36.88480758666992
47–48,0.002488319994881749,96183.34375,239.33493041992188,96063.671875,3459619,35.96900177001953
48–49,0.0027037113904953003,95944.0078125,259.4049072265625,95814.3046875,3363555.25,35.05747985839844
49–50,0.0029545726720243692,95684.6015625,282.7071228027344,95543.25,3267741,34.15116882324219
50–51,0.0032187020406126976,95401.890625,307.07025146484375,95248.359375,3172197.75,33.25088882446289
51–52,0.0034978752955794334,95094.8203125,332.62982177734375,94928.5,3076949.5,32.35664749145508
52–53,0.003814884927123785,94762.1875,361.5068359375,94581.4375,2982021,31.468469619750977
53–54,0.004167267121374607,94400.6796875,393.3928527832031,94203.984375,2887439.5,30.58706283569336
54–55,0.004537983797490597,94007.2890625,426.6035461425781,93793.984375,2793235.5,29.712966918945313
55–56,0.004918769467622042,93580.6875,460.30181884765625,93350.53125,2699441.5,28.84613800048828
56–57,0.005297912750393152,93120.3828125,493.3436584472656,92873.7109375,2606091,27.986257553100586
57–58,0.005671247839927673,92627.0390625,525.3109130859375,92364.3828125,2513217.25,27.132652282714844
58–59,0.0060449386946856976,92101.7265625,556.749267578125,91823.3515625,2420852.75,26.28455352783203
59–60,0.006436226889491081,91544.9765625,589.2042236328125,91250.375,2329029.5,25.441368103027344
60–61,0.006864197086542845,90955.7734375,624.33837890625,90643.609375,2237779.25,24.602937698364258
61–62,0.007335819769650698,90331.4375,662.6551513671875,90000.109375,2147135.5,23.769527435302734
62–63,0.00785083044320345,89668.78125,703.9744262695313,89316.796875,2057135.375,22.94148826599121
63–64,0.008412882685661316,88964.8046875,748.450439453125,88590.578125,1967818.625,22.119068145751953
64–65,0.009030860848724842,88216.3515625,796.6696166992188,87818.015625,1879228,21.302490234375
65–66,0.009695317596197128,87419.6796875,847.5615844726563,86995.8984375,1791410,20.492067337036133
66–67,0.010459370911121368,86572.1171875,905.4898681640625,86119.375,1704414.125,19.687795639038086
67–68,0.011349782347679138,85666.625,972.2975463867188,85180.4765625,1618294.75,18.890609741210938
68–69,0.012449860572814941,84694.328125,1054.4326171875,84167.109375,1533114.25,18.101734161376953
69–70,0.013722422532737255,83639.8984375,1147.7420654296875,83066.03125,1448947.125,17.32363510131836
70–71,0.015032541006803513,82492.15625,1240.0667724609375,81872.125,1365881.125,16.557708740234375
71–72,0.016793137416243553,81252.0859375,1364.4774169921875,80569.84375,1284009,15.80278205871582
72–73,0.018475916236639023,79887.609375,1475.996826171875,79149.609375,1203439.125,15.064152717590332
73–74,0.020305586978793144,78411.609375,1592.1937255859375,77615.515625,1124289.5,14.33830451965332
74–75,0.022219236940145493,76819.4140625,1706.8687744140625,75965.984375,1046674.0625,13.625123977661133
75–76,0.024696018546819687,75112.546875,1854.9808349609375,74185.0546875,970708.0625,12.923380851745605
76–77,0.027380093932151794,73257.5625,2005.7989501953125,72254.6640625,896523,12.237957954406738
77–78,0.030352961272001266,71251.765625,2162.7021484375,70170.4140625,824268.3125,11.568391799926758
78–79,0.0339694507420063,69089.0625,2346.91748046875,67915.609375,754097.9375,10.914867401123047
79–80,0.03762819990515709,66742.1484375,2511.386962890625,65486.453125,686182.3125,10.281094551086426
80–81,0.04214615002274513,64230.76171875,2707.079345703125,62877.22265625,620695.875,9.663529396057129
81–82,0.046825896948575974,61523.68359375,2880.901611328125,60083.234375,557818.625,9.066729545593262
82–83,0.0524756945669651,58642.78125,3077.320556640625,57104.12109375,497735.40625,8.487582206726074
83–84,0.05963939055800438,55565.4609375,3313.89013671875,53908.515625,440631.28125,7.9299492835998535
84–85,0.06680086255073547,52251.5703125,3490.449951171875,50506.34375,386722.78125,7.40117073059082
85–86,0.07423796504735947,48761.12109375,3619.926513671875,46951.15625,336216.4375,6.895174503326416
86–87,0.08216549456119537,45141.1953125,3709.048583984375,43286.671875,289265.28125,6.408010959625244
87–88,0.09296280145645142,41432.1484375,3851.648681640625,39506.32421875,245978.59375,5.936901569366455
88–89,0.104924276471138,37580.5,3943.106689453125,35608.9453125,206472.28125,5.494133472442627
89–90,0.11810798197984695,33637.39453125,3972.8447265625,31650.97265625,170863.328125,5.079565048217773
90–91,0.13255731761455536,29664.55078125,3932.253173828125,27698.423828125,139212.359375,4.6928863525390625
91–92,0.14829649031162262,25732.296875,3816.00927734375,23824.29296875,111513.9296875,4.333617210388184
92–93,0.16532599925994873,21916.287109375,3623.33203125,20104.62109375,87689.640625,4.001117706298828
93–94,0.18361836671829224,18292.955078125,3358.922607421875,16613.494140625,67585.015625,3.6945924758911133
94–95,0.20311470329761505,14934.0322265625,3033.321533203125,13417.37109375,50971.5234375,3.413111925125122
95–96,0.22372236847877502,11900.7109375,2662.455322265625,10569.4833984375,37554.15234375,3.1556224822998047
96–97,0.24531437456607819,9238.255859375,2266.27685546875,8105.1171875,26984.669921875,2.9209702014923096
97–98,0.267730712890625,6971.97900390625,1866.6129150390625,6038.6728515625,18879.552734375,2.707918643951416
