"Table 16. Life table for the non-Hispanic black population: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
0–1,0.010888095013797283,100000,1088.8094482421875,99056,7488072,74.88072204589844
1–2,0.0006610678974539042,98911.1875,65.38700866699219,98878.4921875,7389016,74.70354461669922
2–3,0.00041252945084124804,98845.796875,40.77680206298828,98825.40625,7290137.5,73.75263214111328
3–4,0.000311911542667076,98805.0234375,30.81842803955078,98789.609375,7191312,72.7828598022461
4–5,0.0002656303986441344,98774.203125,26.237430572509766,98761.0859375,7092522.5,71.80541229248047
5–6,0.00023369365953840315,98747.96875,23.07677459716797,98736.4296875,6993761,70.82435607910156
6–7,0.000208289799047634,98724.890625,20.563386917114258,98714.609375,6895025,69.8407974243164
7–8,0.00018756280769594014,98704.328125,18.513261795043945,98695.0703125,6796310,68.85523986816406
8–9,0.00016769743524491787,98685.8125,16.549358367919922,98677.5390625,6697615,67.8680648803711
9–10,0.00015002035070210695,98669.265625,14.802397727966309,98661.859375,6598937.5,66.87936401367188
10–11,0.00014144083252176642,98654.4609375,13.953768730163574,98647.484375,6500275.5,65.88932037353516
11–12,0.00015386121231131256,98640.5078125,15.176948547363281,98632.921875,6401628,64.89856719970703
12–13,0.0002012172481045127,98625.328125,19.845117568969727,98615.40625,6302995.5,63.908485412597656
13–14,0.00029093524790368974,98605.484375,28.68781089782715,98591.140625,6204380,62.92124557495117
14–15,0.00041252284427173436,98576.796875,40.66518020629883,98556.46875,6105788.5,61.93940734863281
15–16,0.0005438505904749036,98536.1328125,53.58893585205078,98509.34375,6007232.5,60.96476745605469
16–17,0.0006753415800631046,98482.546875,66.50936126708984,98449.296875,5908723,59.99766540527344
17–18,0.0008137707482092083,98416.0390625,80.08809661865234,98376,5810273.5,59.037872314453125
18–19,0.0009553201380185783,98335.953125,93.94231414794922,98288.984375,5711897.5,58.08554458618164
19–20,0.001094713225029409,98242.0078125,107.54682159423828,98188.234375,5613608.5,57.1406135559082
20–21,0.0012362228007987142,98134.4609375,121.31605529785156,98073.8046875,5515420.5,56.20268630981445
21–22,0.001369102974422276,98013.1484375,134.19009399414063,97946.0546875,5417346.5,55.271629333496094
22–23,0.0014735268196091056,97878.9609375,144.22727966308594,97806.84375,5319400.5,54.34672164916992
23–24,0.001540602301247418,97734.734375,150.5703582763672,97659.453125,5221593.5,53.42618179321289
24–25,0.0015801610425114632,97584.1640625,154.19869995117188,97507.0625,5123934,52.507843017578125
25–26,0.0016114022582769394,97429.96875,156.99887084960938,97351.46875,5026427,51.590152740478516
26–27,0.0016460862243548036,97272.96875,160.11968994140625,97192.90625,4929075.5,50.672611236572266
27–28,0.0016821715980768204,97112.8515625,163.3604736328125,97031.171875,4831883,49.755340576171875
28–29,0.0017261166358366609,96949.4921875,167.34613037109375,96865.8203125,4734851.5,48.83833312988281
29–30,0.0017808254342526197,96782.1484375,172.35211181640625,96695.96875,4637986,47.92191696166992
30–31,0.0018408719915896654,96609.796875,177.8462677001953,96520.875,4541290,47.00651550292969
31–32,0.0019086565589532256,96431.953125,184.05548095703125,96339.921875,4444769,46.09228515625
32–33,0.0019955821335315704,96247.8984375,192.07058715820313,96151.859375,4348429,45.17947006225586
33–34,0.002101282589137554,96055.828125,201.84043884277344,95954.90625,4252277,44.26880645751953
34–35,0.0022175631020218134,95853.984375,212.562255859375,95747.703125,4156322.25,43.36097717285156
35–36,0.0023457417264580727,95641.421875,224.35006713867188,95529.25,4060574.5,42.456233978271484
36–37,0.0024780360981822014,95417.0703125,236.4469451904297,95298.84375,3965045.25,41.55488204956055
37–38,0.0026020710356533527,95180.625,247.666748046875,95056.796875,3869746.5,40.6568717956543
38–39,0.0027168123051524162,94932.9609375,257.9150390625,94804,3774689.75,39.761634826660156
39–40,0.0028338267002254725,94675.046875,268.29266357421875,94540.90625,3679885.75,38.86859130859375
40–41,0.0029727250803261995,94406.7578125,280.64532470703125,94266.4375,3585344.75,37.97762680053711
41–42,0.0031409559305757284,94126.109375,295.6459655761719,93978.28125,3491078.25,37.08937072753906
42–43,0.0033281748183071613,93830.4609375,312.2841796875,93674.3203125,3397100,36.20466232299805
43–44,0.003527351189404726,93518.1796875,329.8714599609375,93353.2421875,3303425.75,35.32388687133789
44–45,0.0037389106582850218,93188.3046875,348.4227600097656,93014.09375,3210072.5,34.44715881347656
