"Table 17. Life table for non-Hispanic black males: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
0–1,0.011878004297614098,100000,1187.8004150390625,98973.7421875,7151019.5,71.51019287109375
1–2,0.000623991887550801,98812.203125,61.65801239013672,98781.375,7052045.5,71.3681640625
2–3,0.0003947498626075685,98750.546875,38.98176574707031,98731.0546875,6953264,70.41240692138672
3–4,0.00035375182051211596,98711.5625,34.919395446777344,98694.1015625,6854533,69.44001770019531
4–5,0.00023875526676420122,98676.640625,23.559568405151367,98664.859375,6755839,68.46442413330078
5–6,0.00023224687902256846,98653.078125,22.911869049072266,98641.625,6657174,67.48065185546875
6–7,0.00021431157074403018,98630.1640625,21.137584686279297,98619.59375,6558532.5,66.4962158203125
7–8,0.00019591377349570394,98609.0234375,19.318866729736328,98599.359375,6459913,65.51036071777344
8–9,0.00016909927944652736,98589.703125,16.67144775390625,98581.3671875,6361313.5,64.52310180664063
9–10,0.00013684490113519132,98573.03125,13.489216804504395,98566.28125,6262732,63.53392791748047
10–11,0.0001140384265454486,98559.5390625,11.239574432373047,98553.921875,6164166,62.54256057739258
11–12,0.0001263284939341247,98548.296875,12.449458122253418,98542.0703125,6065612,61.54963684082031
12–13,0.00020388425036799163,98535.84375,20.089906692504883,98525.796875,5967070,60.55735397338867
13–14,0.0003630187129601836,98515.75,35.7630615234375,98497.8671875,5868544,59.569602966308594
14–15,0.0005815023323521018,98479.984375,57.26634216308594,98451.3515625,5770046.5,58.59105682373047
15–16,0.0008169193752110004,98422.71875,80.40342712402344,98382.515625,5671595,57.624855041503906
16–17,0.00104522577021271,98342.3125,102.7899169921875,98290.921875,5573212.5,56.67156219482422
17–18,0.0012728557921946049,98239.5234375,125.04474639892578,98177,5474921.5,55.7303352355957
18–19,0.0014895062195137143,98114.4765625,146.14212036132813,98041.40625,5376744.5,54.800724029541016
19–20,0.0016907433746382594,97968.3359375,165.63931274414063,97885.515625,5278703,53.8817253112793
20–21,0.0018909043865278363,97802.6953125,184.935546875,97710.2265625,5180817.5,52.97213363647461
21–22,0.0020782584324479103,97617.7578125,202.8749237060547,97516.3203125,5083107.5,52.0715446472168
22–23,0.002221359871327877,97414.8828125,216.3935089111328,97306.6875,4985591,51.17894744873047
23–24,0.002308592665940523,97198.4921875,224.3917236328125,97086.296875,4888284.5,50.29177474975586
24–25,0.002354442374780774,96974.1015625,228.31993103027344,96859.9375,4791198,49.406986236572266
25–26,0.002386324107646942,96745.78125,230.86679077148438,96630.34375,4694338,48.522403717041016
26–27,0.002421256387606263,96514.9140625,233.68734741210938,96398.0703125,4597708,47.63727951049805
27–28,0.0024561225436627865,96281.2265625,236.47848510742188,96162.984375,4501309.5,46.751686096191406
28–29,0.002499320777133107,96044.75,240.04664611816406,95924.7265625,4405146.5,45.865562438964844
29–30,0.002554325619712472,95804.703125,244.71640014648438,95682.34375,4309222,44.97923278808594
30–31,0.0026105225551873446,95559.984375,249.4615020751953,95435.25,4213539.5,44.093135833740234
31–32,0.0026739027816802263,95310.5234375,254.85107421875,95183.09375,4118104.5,43.207237243652344
32–33,0.002768151694908738,95055.671875,263.1285095214844,94924.109375,4022921.25,42.321739196777344
33–34,0.0028987061232328415,94792.546875,274.7757263183594,94655.15625,3927997.25,41.437828063964844
34–35,0.0030512982048094273,94517.7734375,288.40191650390625,94373.578125,3833342,40.55683898925781
35–36,0.003223934443667531,94229.375,303.7893371582031,94077.484375,3738968.5,39.67943572998047
36–37,0.0033962270244956017,93925.5859375,318.99261474609375,93766.09375,3644891,38.806156158447266
37–38,0.003542637685313821,93606.59375,331.6142578125,93440.78125,3551124.75,37.93669509887695
38–39,0.003654483240097761,93274.9765625,340.871826171875,93104.5390625,3457684,37.069793701171875
39–40,0.003750744042918086,92934.1015625,348.572021484375,92759.8125,3364579.5,36.20392608642578
40–41,0.003862994024530053,92585.53125,357.6573486328125,92406.703125,3271819.75,35.338348388671875
41–42,0.004015777260065079,92227.875,370.3666076660156,92042.6875,3179413,34.47344970703125
42–43,0.004207558464258909,91857.5078125,386.495849609375,91664.265625,3087370.25,33.61042785644531
43–44,0.004440375603735447,91471.015625,406.1656799316406,91267.9375,2995706,32.75033187866211
44–45,0.004707519430667162,91064.8515625,428.6895446777344,90850.5078125,2904438.25,31.894174575805664
45–46,0.00499940849840641,90636.1640625,453.127197265625,90409.6015625,2813587.75,31.042661666870117
46–47,0.005325574893504381,90183.0390625,480.2765197753906,89942.90625,2723178,30.196121215820313
47–48,0.0057046860456466675,89702.765625,511.7261047363281,89446.90625,2633235,29.35511589050293
48–49,0.006152927875518799,89191.0390625,548.7860107421875,88916.640625,2543788.25,28.52066993713379
49–50,0.0066740927286446095,88642.25,591.6065673828125,88346.4453125,2454871.5,27.69414710998535
50–51,0.0072249360382556915,88050.640625,636.1602172851563,87732.5625,2366525.25,26.87686538696289
51–52,0.007825520820915699,87414.4765625,684.0637817382813,87072.4453125,2278792.5,26.068822860717773
52–53,0.008547119796276093,86730.4140625,741.2952270507813,86359.765625,2191720,25.270488739013672
53–54,0.009408719837665558,85989.1171875,809.0474853515625,85584.59375,2105360.25,24.484031677246094
54–55,0.010374143719673157,85180.0703125,883.6702880859375,84738.234375,2019775.75,23.711833953857422
55–56,0.011370775289833546,84296.3984375,958.515380859375,83817.140625,1935037.5,22.955162048339844
56–57,0.012380288913846016,83337.8828125,1031.7470703125,82822.0078125,1851220.375,22.21343231201172
57–58,0.013461130671203136,82306.1328125,1107.93359375,81752.171875,1768398.375,21.485620498657227
58–59,0.014649268239736557,81198.203125,1189.4942626953125,80603.453125,1686646.25,20.77196502685547
59–60,0.01595587283372879,80008.7109375,1276.6087646484375,79370.40625,1606042.75,20.073348999023438
60–61,0.01737918332219124,78732.1015625,1368.2996826171875,78047.953125,1526672.375,19.390722274780273
61–62,0.01887105591595173,77363.8046875,1459.9366455078125,76633.8359375,1448624.375,18.724834442138672
62–63,0.020392319187521935,75903.8671875,1547.8558349609375,75129.9375,1371990.5,18.07537078857422
63–64,0.021893655881285667,74356.0078125,1627.9248046875,73542.046875,1296860.625,17.441234588623047
64–65,0.023383429273962975,72728.0859375,1700.632080078125,71877.765625,1223318.625,16.82044219970703
65–66,0.02500392124056816,71027.453125,1775.96484375,70139.46875,1151440.75,16.211206436157227
66–67,0.026733357459306717,69251.484375,1851.32470703125,68325.8203125,1081301.375,15.61412525177002
67–68,0.028404153883457184,67400.15625,1914.4444580078125,66442.9375,1012975.5,15.029274940490723
68–69,0.02990643121302128,65485.7109375,1958.4439697265625,64506.48828125,946532.5625,14.454031944274902
69–70,0.03134675696492195,63527.265625,1991.373779296875,62531.578125,882026.125,13.8842134475708
70–71,0.03266081586480141,61535.890625,2009.8123779296875,60530.984375,819494.5,13.317341804504395
71–72,0.03493887186050415,59526.078125,2079.77392578125,58486.19140625,758963.5625,12.750102043151855
72–73,0.03690125420689583,57446.3046875,2119.840576171875,56386.3828125,700477.3125,12.19360065460205
73–74,0.03984075039625168,55326.46484375,2204.247802734375,54224.34375,644090.9375,11.641642570495605
74–75,0.04269469156861305,53122.21875,2268.036865234375,51988.203125,589866.625,11.10395336151123
75–76,0.04575473070144653,50854.18359375,2326.819580078125,49690.7734375,537878.4375,10.576876640319824
76–77,0.04964200407266617,48527.36328125,2408.99560546875,47322.8671875,488187.625,10.06004810333252
77–78,0.05305112525820732,46118.3671875,2446.63134765625,44895.05078125,440864.78125,9.559418678283691
78–79,0.0581309013068676,43671.734375,2538.67724609375,42402.3984375,395969.71875,9.066956520080566
79–80,0.06297008693218231,41133.05859375,2590.15234375,39837.984375,353567.3125,8.595697402954102
80–81,0.06759992241859436,38542.90625,2605.49755859375,37240.15625,313729.34375,8.139742851257324
81–82,0.07307029515504837,35937.41015625,2625.957275390625,34624.4296875,276489.1875,7.693631172180176
82–83,0.08066438883543015,33311.453125,2687.048095703125,31967.9296875,241864.75,7.260708332061768
83–84,0.08860494941473007,30624.404296875,2713.473876953125,29267.66796875,209896.828125,6.853907108306885
84–85,0.09506503492593765,27910.9296875,2653.353515625,26584.25390625,180629.15625,6.471628189086914
85–86,0.10200273245573044,25257.576171875,2576.341796875,23969.40625,154044.90625,6.098958492279053
86–87,0.11129482835531235,22681.234375,2524.30419921875,21419.08203125,130075.4921875,5.734938621520996
87–88,0.12125163525342941,20156.9296875,2444.060791015625,18934.8984375,108656.4140625,5.390523910522461
88–89,0.13188765943050385,17712.869140625,2336.10888671875,16544.814453125,89721.515625,5.065329551696777
89–90,0.1432117074728012,15376.759765625,2202.132080078125,14275.693359375,73176.6953125,4.758914947509766
90–91,0.15522581338882446,13174.6279296875,2045.0423583984375,12152.107421875,58901.00390625,4.470790863037109
91–92,0.16792447865009308,11129.5859375,1868.929931640625,10195.12109375,46748.8984375,4.200416564941406
92–93,0.18129374086856842,9260.65625,1678.8990478515625,8421.20703125,36553.77734375,3.9472124576568604
93–94,0.1953105628490448,7581.75732421875,1480.7972412109375,6841.3583984375,28132.5703125,3.7105605602264404
94–95,0.20994237065315247,6100.9599609375,1280.8499755859375,5460.53515625,21291.2109375,3.4898133277893066
95–96,0.22514674067497253,4820.10986328125,1085.2320556640625,4277.494140625,15830.67578125,3.2842977046966553
96–97,0.24087148904800415,3734.8779296875,899.6256103515625,3285.065185546875,11553.181640625,3.093322515487671
97–98,0.2570551037788391,2835.25244140625,728.8161010742188,2470.84423828125,8268.1171875,2.9161837100982666
98–99,0.27362731099128723,2106.436279296875,576.3784790039063,1818.2470703125,5797.2724609375,2.7521708011627197
99–100,0.2905101478099823,1530.057861328125,444.4973449707031,1307.8092041015625,3979.025634765625,2.600572109222412
"100 and over",1,1085.560546875,1085.560546875,2671.21630859375,2671.21630859375,2.460679292678833
"NOTES: This life table is based on death rates that have been adjusted for race and ethnicity misclassification on death certificates. Updated classification ratios were applied; see Technical Notes.",,,,,,
"SOURCE: NCHS, National Vital Statistics System, Mortality.",,,,,,
