"Table 18. Life table for non-Hispanic black females: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
0–1,0.009865225292742252,100000,986.5225219726563,99140.734375,7807910,78.0791015625
1–2,0.0006218438502401114,99013.4765625,61.5709228515625,98982.6875,7708769,77.85575866699219
2–3,0.0003821505233645439,98951.90625,37.81452178955078,98933,7609786.5,76.90389251708984
3–4,0.00022801040904596448,98914.09375,22.553443908691406,98902.8125,7510853.5,75.93309783935547
4–5,0.00026307537336833775,98891.5390625,26.015928268432617,98878.53125,7411950.5,74.95030212402344
5–6,0.00020875457266811281,98865.5234375,20.638629913330078,98855.203125,7313072,73.96989440917969
6–7,0.00018033571541309357,98844.8828125,17.82526206970215,98835.96875,7214217,72.98523712158203
7–8,0.00015915567928459495,98827.0546875,15.728886604309082,98819.1875,7115381,71.9983139038086
8–9,0.00014505094441119581,98811.328125,14.332676887512207,98804.15625,7016561.5,71.00968933105469
9–10,0.0001380248722853139,98796.9921875,13.636442184448242,98790.171875,6917757.5,70.0199203491211
10–11,0.00013825990026816726,98783.359375,13.657777786254883,98776.53125,6818967.5,69.0295181274414
11–12,0.00014606010518036783,98769.703125,14.426313400268555,98762.484375,6720191,68.03899383544922
12–13,0.00016170386516023427,98755.2734375,15.969109535217285,98747.2890625,6621428.5,67.04885864257813
13–14,0.0001851980050560087,98739.3046875,18.28632164001465,98730.15625,6522681,66.05962371826172
14–15,0.00021611095871776342,98721.015625,21.334693908691406,98710.34375,6423951,65.07176971435547
15–16,0.00025041430490091443,98699.6796875,24.715810775756836,98687.3203125,6325240.5,64.08572387695313
16–17,0.00029053588514216244,98674.9609375,28.668617248535156,98660.625,6226553.5,63.10165786743164
17–18,0.0003423529560677707,98646.2890625,33.771846771240234,98629.40625,6127892.5,62.11984634399414
18–19,0.0004072552837897092,98612.515625,40.16046905517578,98592.4375,6029263,61.14094924926758
19–20,0.0004804047930520028,98572.3515625,47.35462951660156,98548.671875,5930671,60.16566467285156
20–21,0.0005580700235441327,98525,54.983848571777344,98497.5078125,5832122,59.1943359375
21–22,0.0006326488801278174,98470.015625,62.29694366455078,98438.8671875,5733624.5,58.22711181640625
22–23,0.0006969638634473085,98407.71875,68.58662414550781,98373.421875,5635185.5,57.26365280151367
23–24,0.0007460040505975485,98339.1328125,73.36138916015625,98302.453125,5536812.5,56.303245544433594
24–25,0.0007839981699362397,98265.7734375,77.0401840209961,98227.25,5438510,55.344905853271484
25–26,0.0008196918061003089,98188.734375,80.48450469970703,98148.4921875,5340282.5,54.387935638427734
26–27,0.0008589649805799127,98108.25,84.27155303955078,98066.109375,5242134,53.43214416503906
27–28,0.0009021862642839551,98023.9765625,88.43588256835938,97979.7578125,5144068,52.4776496887207
28–29,0.0009543707710690796,97935.5390625,93.46681213378906,97888.8046875,5046088.5,51.52458953857422
29–30,0.0010179372038692236,97842.0703125,99.59708404541016,97792.2734375,4948199.5,50.573333740234375
30–31,0.001092350808903575,97742.4765625,106.76907348632813,97689.09375,4850407,49.624351501464844
31–32,0.0011755104642361403,97635.7109375,114.77179718017578,97578.328125,4752718,48.678070068359375
